,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Call Out My Name","The Weeknd",40628023,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
2,"God's Plan",Drake,38941068,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
3,"Psycho (feat. Ty Dolla $ign)","Post Malone",28146377,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
4,X,"Nicky Jam",24447827,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
5,FRIENDS,Marshmello,24267771,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
6,"Try Me","The Weeknd",24189356,https://open.spotify.com/track/2poOAWEj1CStqTVPgIHZ8s
7,SAD!,XXXTENTACION,22478204,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
8,"Wasted Times","The Weeknd",21345197,https://open.spotify.com/track/72TyiiduRmczEbDIEtKQdR
9,IDGAF,"Dua Lipa",20566362,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
10,"The Middle",Zedd,20248458,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
11,"Freaky Friday (feat. Chris Brown)","Lil Dicky",20034897,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
12,"Love Lies (with Normani)",Khalid,19280198,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
13,"Look Alive (feat. Drake)","BlocBoy JB",19118987,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
14,"All The Stars (with SZA)","Kendrick Lamar",18613793,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
15,Mine,Bazzi,17808465,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
16,"Hurt You","The Weeknd",17639162,https://open.spotify.com/track/13wNEvWmBsWaWVtiLPRIW5
17,"I Was Never There","The Weeknd",17597962,https://open.spotify.com/track/56d6kYZhfhzpoC3s1dRU2V
18,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,17531448,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
19,"In My Blood","Shawn Mendes",16340800,https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K
20,rockstar,"Post Malone",15478601,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
21,Privilege,"The Weeknd",15068329,https://open.spotify.com/track/26Fqtv4Aa7kyd1WWGHai6A
22,Dura,"Daddy Yankee",14614579,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
23,Havana,"Camila Cabello",14385724,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
24,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",13974753,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
25,"Plug Walk","Rich The Kid",13541217,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
26,Delicate,"Taylor Swift",12788750,https://open.spotify.com/track/6NFyWDv5CjfwuzoCkw47Xf
27,"Me Niego",Reik,12611562,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
