,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
28,"Pray For Me (with Kendrick Lamar)","The Weeknd",12350980,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
29,"Never Be the Same","Camila Cabello",12175824,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
30,Moonlight,XXXTENTACION,11891884,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
31,"Like I Do","David Guetta",11628653,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
32,"Walk It Talk It",Migos,11358510,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
33,"New Rules","Dua Lipa",10953496,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
34,Bella,Wolfine,10933199,https://open.spotify.com/track/3xcCix7Jv1Rp90YVmgo35D
35,"Échame La Culpa","Luis Fonsi",10756813,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
36,"Say Something","Justin Timberlake",10159478,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
37,"Shape of You","Ed Sheeran",10121069,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
38,Amorfoda,"Bad Bunny",10107333,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF
39,"Ric Flair Drip (& Metro Boomin)",Offset,10102725,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
40,Perfect,"Ed Sheeran",10056946,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
41,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",9818109,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l
42,Nevermind,"Dennis Lloyd",9682569,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
43,Everyday,Logic,9572764,https://open.spotify.com/track/4EAV2cKiqKP5UPZmY6dejk
44,"I Fall Apart","Post Malone",9563476,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
45,Wolves,"Selena Gomez",9557302,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
46,"Lost In Japan","Shawn Mendes",9508929,https://open.spotify.com/track/7wvYmO5QscgIDDT0eNwbYX
47,"Mad Love","Sean Paul",9291803,https://open.spotify.com/track/3soOPBuMK8YMdWnV7xpEyf
48,"Remind Me to Forget",Kygo,9288664,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
49,"River (feat. Ed Sheeran)",Eminem,9275810,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
50,"Síguelo Bailando",Ozuna,9160075,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
51,"Stir Fry",Migos,9064006,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
52,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",8975451,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
53,"Powerglide (feat. Juicy J)","Rae Sremmurd",8493716,https://open.spotify.com/track/2yUbCEiaolfSMluDo9RMmG
54,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",8370805,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
55,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",8348479,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
56,"Feel It Still","Portugal. The Man",7958335,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
57,"Let You Down",NF,7957572,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
58,changes,XXXTENTACION,7807749,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
59,"Sick Boy","The Chainsmokers",7799780,https://open.spotify.com/track/2JfXj2TERIkHwJpnG9f8uX
60,"Lemon - Drake Remix",N.E.R.D,7799031,https://open.spotify.com/track/739vCwA3EpBSkk3uDsI2wB
61,Downtown,Anitta,7685894,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
62,Corazón,Maluma,7661459,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou
63,Thunder,"Imagine Dragons",7646251,https://open.spotify.com/track/26gceVsA1ybT8qsX3aYLEn
64,Criminal,"Natti Natasha",7598804,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
65,Breathe,"Jax Jones",7464127,https://open.spotify.com/track/6tvQzeCPwOytDlBYCIOY0n
66,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",7419876,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
67,"XO TOUR Llif3","Lil Uzi Vert",7256359,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
68,"Capital Letters","Hailee Steinfeld",7168075,https://open.spotify.com/track/3towKHKVOXCCcL1fHv6xFO
69,Flames,"David Guetta",7087435,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
70,"Too Good At Goodbyes","Sam Smith",6977546,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
71,Believer,"Imagine Dragons",6940201,https://open.spotify.com/track/7Izh7zLJGw1Nscd62Exxj4
72,Heaven,"Julia Michaels",6903931,https://open.spotify.com/track/4QfNOZN7vrQCQKK1ZJ3XPb
73,"Jocelyn Flores",XXXTENTACION,6861037,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
74,Dembow,"Danny Ocean",6854871,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
75,"El Préstamo",Maluma,6825315,https://open.spotify.com/track/0QS5rZpm5zN9wV9lJgjyUE
76,Silence,Marshmello,6804604,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
77,Congratulations,"Post Malone",6742471,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
78,1950,"King Princess",6679903,https://open.spotify.com/track/0CZ8lquoTX2Dkg7Ak2inwA
79,JAPAN,"Famous Dex",6641492,https://open.spotify.com/track/4lTiuD1DwBKo4L7wqMkD7C
80,"Him & I (with Halsey)",G-Eazy,6582234,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
81,"For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne",6562385,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
82,"EL BAÑO","Enrique Iglesias",6555025,https://open.spotify.com/track/2vvdTrdryjsl8DmPIMDWZU
83,Sensualidad,"Bad Bunny",6551810,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
84,"I Miss You (feat. Julia Michaels)","Clean Bandit",6384363,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
85,HUMBLE.,"Kendrick Lamar",6261369,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
86,"Bum Bum Tam Tam","MC Fioti",6218715,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr
87,"Young Dumb & Broke",Khalid,6120653,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
88,"This Is Me","Keala Settle",6111666,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
89,"Be Careful","Cardi B",6053194,https://open.spotify.com/track/6J3YPOejivwLSjM2dru5Ad
90,"Everybody Hates Me","The Chainsmokers",6025394,https://open.spotify.com/track/3pIigjAWkzwAonXpJ1fmSF
91,"Rewrite The Stars","Zac Efron",6014395,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
92,"What Lovers Do (feat. SZA)","Maroon 5",5849750,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
93,Machika,"J Balvin",5832379,https://open.spotify.com/track/6MNGxu8MprKGkchUchkJsy
94,Unforgettable,"French Montana",5749748,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
95,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",5712022,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd
96,"Candy Paint","Post Malone",5630232,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
97,"New Freezer (feat. Kendrick Lamar)","Rich The Kid",5612950,https://open.spotify.com/track/0eHCArTPhwUxatY7cEXRiK
98,"Nowadays (feat. Landon Cube)","Lil Skies",5552481,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp
99,"Dusk Till Dawn - Radio Edit",ZAYN,5526730,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
100,Solita,Ozuna,5504581,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E
101,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",5497785,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
102,"El Farsante - Remix",Ozuna,5489554,https://open.spotify.com/track/7uYgVgRSgqluZclLS7wpp4
103,"Se Preparó",Ozuna,5387216,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
104,"Say You Won't Let Go","James Arthur",5353989,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
105,1-800-273-8255,Logic,5350434,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
106,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,5213690,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
107,"Bad Company","A$AP Rocky",5211831,https://open.spotify.com/track/3ZYwSDF9knZI0RVlKR4PHC
108,"Bank Account","21 Savage",5206197,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
109,"Something Just Like This","The Chainsmokers",5169496,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
110,"Me Rehúso","Danny Ocean",5150363,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
111,Anywhere,"Rita Ora",5136866,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
112,"I Like Me Better",Lauv,5132600,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
113,"How Long","Charlie Puth",5083178,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
114,Esperándote,"Manuel Turizo",5072295,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj
115,"Sorry Not Sorry","Demi Lovato",5003787,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
116,"Whatever It Takes","Imagine Dragons",4981272,https://open.spotify.com/track/7F3uo3304R2CTvOseU3H7u
117,Betrayed,"Lil Xan",4921804,https://open.spotify.com/track/6NWl2m8asvH83xjuXVNsuG
118,Location,Khalid,4915167,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
119,Attention,"Charlie Puth",4902943,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
120,Beautiful,Bazzi,4881286,https://open.spotify.com/track/1OilOIju6R9ia8vilNjChh
121,"44 More",Logic,4825563,https://open.spotify.com/track/3e7Y6sfFlIdBMJhX7wpqVO
122,"One Dance",Drake,4823507,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
123,goosebumps,"Travis Scott",4817914,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
124,"Tip Toe (feat. French Montana)","Jason Derulo",4798711,https://open.spotify.com/track/2z4pcBLQXF2BXKFvd0BuB6
125,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,4748327,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
126,"No Limit",G-Eazy,4717046,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
127,"All Falls Down","Alan Walker",4678108,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
128,"Bounce Out With That","YBN Nahmir",4647320,https://open.spotify.com/track/5lZsh9Qf7CbHI9Fcc7Zcsq
129,Narcos,Migos,4620722,https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK
130,"So Far Away","Martin Garrix",4616174,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
131,"More Than You Know","Axwell /\ Ingrosso",4612383,https://open.spotify.com/track/71bBFbfn2OBK5QwUJSLS44
132,Starboy,"The Weeknd",4609554,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
133,Closer,"The Chainsmokers",4572389,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
134,"Quiero Repetir",Ozuna,4560575,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri
135,"Báilame - Remix",Nacho,4558396,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr
136,"Mi Gente","J Balvin",4553786,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
137,"Red Roses (feat. Landon Cube)","Lil Skies",4529560,https://open.spotify.com/track/3ZhTT6yjZwpPph5MIJ53XY
138,OKRA,"Tyler, The Creator",4523203,https://open.spotify.com/track/74ZovzRxHBvCq5yIwe8boh
139,"Te Amo","Piso 21",4468706,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
140,"Gucci Gang","Lil Pump",4442046,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
141,66,"Lil Yachty",4433655,https://open.spotify.com/track/6tarvNiKnEjYMj1VZhlDqR
142,"There's Nothing Holdin' Me Back","Shawn Mendes",4414214,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
143,"La Player (Bandolera)","Zion & Lennox",4405038,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
144,"Déjate Llevar","Juan Magán",4402399,https://open.spotify.com/track/3xWEI23MLJrD0dpDcDUTW6
145,"Thinking Out Loud","Ed Sheeran",4382923,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
146,"BUTTERFLY EFFECT","Travis Scott",4362595,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX
147,Indecente,Anitta,4343129,https://open.spotify.com/track/5FOCkGt7bp22nBVfQ4WSIT
148,"LOVE. FEAT. ZACARI.","Kendrick Lamar",4331710,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
149,"Everybody Dies In Their Nightmares",XXXTENTACION,4314561,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
150,"Despacito - Remix","Luis Fonsi",4294663,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
151,Barking,Ramz,4258740,https://open.spotify.com/track/7amMgNDcObIDkIXv4xcvc2
152,"Plain Jane","A$AP Ferg",4251601,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9
153,MotorSport,Migos,4250108,https://open.spotify.com/track/4wFjTWCunQFKtukqrNijEt
154,Photograph,"Ed Sheeran",4225507,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
155,"Pineapple (feat. Gucci Mane & Quavo)","Ty Dolla $ign",4218652,https://open.spotify.com/track/0TFVOjSvPTjFHkiZZekK5k
156,Mayores,"Becky G",4210175,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau
157,"That's What I Like","Bruno Mars",4175041,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
158,"Bartier Cardi (feat. 21 Savage)","Cardi B",4115400,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT
159,"Symphony (feat. Zara Larsson)","Clean Bandit",4105812,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
160,"Wonderwall - Remastered",Oasis,4098591,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
161,"Bodak Yellow","Cardi B",4080458,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM
162,"Que Va","Alex Sensation",4054729,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O
163,Ahora,"J Balvin",4017868,https://open.spotify.com/track/54OB85nuxYGfl7qRQXuz7c
164,Africa,Toto,4017390,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
165,"You Are The Reason","Calum Scott",4003085,https://open.spotify.com/track/2VgJDTfkuwlm7WIHnvtRCQ
166,"Mr. Brightside","The Killers",3989485,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
167,"Sky Walker",Miguel,3937142,https://open.spotify.com/track/5WoaF1B5XIEnWfmb5NZikf
168,Stargazing,Kygo,3935935,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
169,"Leave a Light On","Tom Walker",3935721,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
170,Passionfruit,Drake,3932185,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz
171,"Loca Remix",Khea,3913921,https://open.spotify.com/track/2CRbiMK0W14l71SpDKqKZM
172,SUTRA,"Sebastian Yatra",3909154,https://open.spotify.com/track/5TmZYdHW6HJ9gt7Aokuql5
173,"Go Flex","Post Malone",3907574,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ
174,"Galway Girl","Ed Sheeran",3902525,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
175,"I'm Yours","Jason Mraz",3894090,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
176,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",3868640,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
177,"The Greatest Show","Hugh Jackman",3864244,https://open.spotify.com/track/43ay9lQZ5rfNcOOHhRF2cM
178,"Strip That Down","Liam Payne",3850158,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
179,Tequila,"Dan + Shay",3833887,https://open.spotify.com/track/7Il2yWQmsqKgSkLQvHTPUI
180,Issues,"Julia Michaels",3811811,https://open.spotify.com/track/7vu0JkJh0ldukEYbTVcqd0
181,Paradise,"George Ezra",3801625,https://open.spotify.com/track/38zwkK6TtTjIW9tpYBfZ3D
182,"Suena El Dembow","Joey Montana",3789401,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI
183,"X (with 2 Chainz & Saudi)","ScHoolboy Q",3768169,https://open.spotify.com/track/4LmAnpjlhWTahvRkYR8xJa
184,"El Clavo","Prince Royce",3761994,https://open.spotify.com/track/0LKErfBZ5FbBiLB4OcZRbL
185,"going down!",XXXTENTACION,3761268,https://open.spotify.com/track/7CkbRn6S0itJqcqn88AtSV
186,BILLY,6ix9ine,3742409,https://open.spotify.com/track/7bRRHQelMfrP86QYQlCsAq
187,"Done For Me (feat. Kehlani)","Charlie Puth",3709030,https://open.spotify.com/track/76S09sHj7GGMJAtOLjmVQ2
188,"End Of Discussion (feat. Lil Wayne)","Rich The Kid",3674205,https://open.spotify.com/track/0qFX9pVJQB4lBMxRoFXqGr
189,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3660497,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
190,Halo,Beyoncé,3659069,https://open.spotify.com/track/2CvOqDpQIMw69cCzWqr5yr
191,"Roll In Peace (feat. XXXTENTACION)","Kodak Black",3652390,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI
192,Redbone,"Childish Gambino",3647015,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
193,"I Feel It Coming","The Weeknd",3642830,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
194,NUMB,XXXTENTACION,3632224,https://open.spotify.com/track/01TnVDiet1DFTsyWKUKovl
195,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",3630741,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
196,Alien,"Sabrina Carpenter",3597952,https://open.spotify.com/track/0RUTnY2B3s05fZuCHsNaUP
197,"Robarte un Beso","Carlos Vives",3595233,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k
198,"Say Amen (Saturday Night)","Panic! At The Disco",3594335,https://open.spotify.com/track/4qSsjDGXplb6422X2INvFW
199,"Chasing Fire",Lauv,3592475,https://open.spotify.com/track/1xy4apMFecGGkgBeaHFZ2M
200,"What About Us",P!nk,3589018,https://open.spotify.com/track/0Qh38w01QRXK6KHIv0e3hb
