,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
45,"Rewrite The Stars","Zac Efron",9511203,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
46,Thunder,"Imagine Dragons",9424699,https://open.spotify.com/track/26gceVsA1ybT8qsX3aYLEn
47,"What Lovers Do (feat. SZA)","Maroon 5",9373183,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
48,"Too Good At Goodbyes","Sam Smith",9372589,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
49,Sensualidad,"Bad Bunny",9297403,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
50,"This Is Me","Keala Settle",9200685,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
51,"Want You Back","5 Seconds of Summer",8842580,https://open.spotify.com/track/2Pvr8rYuh5J8V7QglJhH6W
52,"XO TOUR Llif3","Lil Uzi Vert",8756800,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
53,"The Ways (with Swae Lee)",Khalid,8569785,https://open.spotify.com/track/5jyyPsIGM2yqkZN9R3TmvN
54,"Ric Flair Drip (& Metro Boomin)",Offset,8434646,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
55,Narcos,Migos,8427068,https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK
56,Congratulations,"Post Malone",8387830,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
57,"X (with 2 Chainz & Saudi)","ScHoolboy Q",8376464,https://open.spotify.com/track/4LmAnpjlhWTahvRkYR8xJa
58,"EL BAÑO","Enrique Iglesias",8312384,https://open.spotify.com/track/2vvdTrdryjsl8DmPIMDWZU
59,"Síguelo Bailando",Ozuna,7950793,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
60,HUMBLE.,"Kendrick Lamar",7939678,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
61,"Young Dumb & Broke",Khalid,7812162,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
62,"LOVE. FEAT. ZACARI.","Kendrick Lamar",7744036,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
63,"Tip Toe (feat. French Montana)","Jason Derulo",7674650,https://open.spotify.com/track/2z4pcBLQXF2BXKFvd0BuB6
64,"Me Niego",Reik,7653019,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
65,Betrayed,"Lil Xan",7649818,https://open.spotify.com/track/6NWl2m8asvH83xjuXVNsuG
66,"So Far Away","Martin Garrix",7535766,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
67,"Candy Paint","Post Malone",7506783,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
68,"Dusk Till Dawn - Radio Edit",ZAYN,7406812,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
69,Anywhere,"Rita Ora",7316400,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
70,Dembow,"Danny Ocean",7170048,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
71,"No Limit",G-Eazy,7167176,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
72,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",7105849,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
73,Machika,"J Balvin",7061352,https://open.spotify.com/track/6MNGxu8MprKGkchUchkJsy
74,Believer,"Imagine Dragons",6996677,https://open.spotify.com/track/7Izh7zLJGw1Nscd62Exxj4
75,"Bartier Cardi (feat. 21 Savage)","Cardi B",6956336,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT
76,"Bum Bum Tam Tam","MC Fioti",6813455,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr
77,"How Long","Charlie Puth",6791621,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
78,Solita,Ozuna,6727711,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E
79,"She Loves Control","Camila Cabello",6675528,https://open.spotify.com/track/5HwnezK198pJCEj1l2Adjy
80,"You Owe Me","The Chainsmokers",6671953,https://open.spotify.com/track/1USJRpWDFhxwhCajPXBeel
81,"Se Preparó",Ozuna,6668316,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
82,"Sky Walker",Miguel,6610617,https://open.spotify.com/track/5WoaF1B5XIEnWfmb5NZikf
83,"Me Rehúso","Danny Ocean",6492320,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
84,Unforgettable,"French Montana",6444919,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
85,"Bank Account","21 Savage",6389230,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
86,BILLY,6ix9ine,6347537,https://open.spotify.com/track/7bRRHQelMfrP86QYQlCsAq
87,"Nowadays (feat. Landon Cube)","Lil Skies",6232846,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp
88,"Gucci Gang","Lil Pump",6133855,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
89,"Mi Gente","J Balvin",6133790,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
90,RONDO,6ix9ine,6122294,https://open.spotify.com/track/1Y500yrabUJY2mIQS3RDt4
91,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",6083315,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd
92,1-800-273-8255,Logic,6068890,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
93,MotorSport,Migos,6030860,https://open.spotify.com/track/4wFjTWCunQFKtukqrNijEt
94,"I Like Me Better",Lauv,6004128,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
95,"Say You Won't Let Go","James Arthur",6000282,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
96,Attention,"Charlie Puth",5974748,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
97,"Something Just Like This","The Chainsmokers",5962512,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
98,"Jocelyn Flores",XXXTENTACION,5933274,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
99,"Like I Do","David Guetta",5890600,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
100,"Quiero Repetir",Ozuna,5801891,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri
101,"New Freezer (feat. Kendrick Lamar)","Rich The Kid",5793775,https://open.spotify.com/track/4pYZLpX23Vx8rwDpJCpPTA
102,"All Falls Down","Alan Walker",5741724,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
103,Mayores,"Becky G",5728012,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau
104,Location,Khalid,5710770,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
105,"Big Shot (with Travis Scott)","Kendrick Lamar",5689347,https://open.spotify.com/track/5cXg9IQS34FzLVdHhp7hu7
106,"Plain Jane","A$AP Ferg",5679749,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9
107,Paramedic!,"SOB X RBE",5678477,https://open.spotify.com/track/2tPcTFiQF9MbVUyjZ3zDhA
108,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",5677148,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
109,"Sorry Not Sorry","Demi Lovato",5606494,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
110,Naked,"James Arthur",5567375,https://open.spotify.com/track/7krbSH3rd8lhIZvuzTV3Bl
111,Breathe,"Jax Jones",5480860,https://open.spotify.com/track/6tvQzeCPwOytDlBYCIOY0n
112,"More Than You Know","Axwell /\ Ingrosso",5476540,https://open.spotify.com/track/71bBFbfn2OBK5QwUJSLS44
113,"Miss You (with Major Lazer & Tory Lanez)","Cashmere Cat",5400485,https://open.spotify.com/track/0as7lPxkBPctZ7uVmchRNM
114,"Walk It Talk It",Migos,5400181,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
115,"Bounce Out With That","YBN Nahmir",5397587,https://open.spotify.com/track/5lZsh9Qf7CbHI9Fcc7Zcsq
116,Stargazing,Kygo,5371164,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
117,goosebumps,"Travis Scott",5369629,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
118,"Lonely Together (feat. Rita Ora)",Avicii,5342862,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
119,"Báilame - Remix",Nacho,5339349,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr
120,"Bodak Yellow","Cardi B",5238159,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM
121,Esperándote,"Manuel Turizo",5221761,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj
122,"Next To Me","Imagine Dragons",5213958,https://open.spotify.com/track/7EUfNvyCVxQV3oN5ScA2Lb
123,"Whatever It Takes","Imagine Dragons",5207266,https://open.spotify.com/track/7F3uo3304R2CTvOseU3H7u
124,KEKE,6ix9ine,5198789,https://open.spotify.com/track/7q1ikCoQLytPP5TTzDy7JK
125,"Go Flex","Post Malone",5159410,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ
126,"Que Va","Alex Sensation",5068972,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O
127,"One Dance",Drake,5037260,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
128,Vuelve,"Daddy Yankee",5024982,https://open.spotify.com/track/0lJCqIx5BhZtf6QtYI2fbv
129,SUTRA,"Sebastian Yatra",5013929,https://open.spotify.com/track/5TmZYdHW6HJ9gt7Aokuql5
130,"BUTTERFLY EFFECT","Travis Scott",4940197,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX
131,"Suena El Dembow","Joey Montana",4938726,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI
132,"Déjate Llevar","Juan Magán",4928644,https://open.spotify.com/track/3xWEI23MLJrD0dpDcDUTW6
133,"Robarte un Beso","Carlos Vives",4922159,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k
134,"Symphony (feat. Zara Larsson)","Clean Bandit",4916330,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
135,"Thinking Out Loud","Ed Sheeran",4857761,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
136,GUMMO,6ix9ine,4843431,https://open.spotify.com/track/0VtxQUpwnkeedz0QhhuOgA
137,Photograph,"Ed Sheeran",4818146,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
138,"Despacito - Remix","Luis Fonsi",4800451,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
139,"There's Nothing Holdin' Me Back","Shawn Mendes",4772382,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
140,Closer,"The Chainsmokers",4762634,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
141,"Strip That Down","Liam Payne",4748599,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
142,"That's What I Like","Bruno Mars",4735904,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
143,"Bella y Sensual","Romeo Santos",4705208,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3
144,"Escápate Conmigo (feat. Ozuna)",Wisin,4672563,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc
145,"The Greatest Show","Hugh Jackman",4609227,https://open.spotify.com/track/43ay9lQZ5rfNcOOHhRF2cM
146,"Codeine Dreaming (feat. Lil Wayne)","Kodak Black",4572483,https://open.spotify.com/track/4DTpngLjoHj5gFxEZFeD3J
147,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,4478435,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
148,"Felices los 4",Maluma,4431919,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
149,Issues,"Julia Michaels",4391288,https://open.spotify.com/track/7vu0JkJh0ldukEYbTVcqd0
150,"White Iverson","Post Malone",4379705,https://open.spotify.com/track/6eT7xZZlB2mwyzJ2sUKG6w
151,Passionfruit,Drake,4354271,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz
152,"Getting Over You",Lauv,4352561,https://open.spotify.com/track/2BNkTvg1kHAAfGvqh56x5a
153,"I Get The Bag (feat. Migos)","Gucci Mane",4351824,https://open.spotify.com/track/1XRgIKC5TPwo7nWGyKqgG0
154,"El Farsante - Remix",Ozuna,4346499,https://open.spotify.com/track/7uYgVgRSgqluZclLS7wpp4
155,"Galway Girl","Ed Sheeran",4316725,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
156,"Tell Me You Love Me","Demi Lovato",4306971,https://open.spotify.com/track/5Htb1uFQ1KrkFXlefS8oGj
157,"Havana - Remix","Camila Cabello",4267489,https://open.spotify.com/track/3whrwq4DtvucphBPUogRuJ
158,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,4257444,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
159,DNA.,"Kendrick Lamar",4255367,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
160,"Roll In Peace (feat. XXXTENTACION)","Kodak Black",4251570,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI
161,Mama,"Jonas Blue",4229826,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
162,"A Million Dreams","Ziv Zaifman",4205083,https://open.spotify.com/track/0RoA7ObU6phWpqhlC9zH4Z
163,"Wanted You (feat. Lil Uzi Vert)",NAV,4193723,https://open.spotify.com/track/790MhTXPFrYkrqCKvpg4t1
164,"Notice Me",Migos,4192988,https://open.spotify.com/track/3OnOomd79OjqSYHchCQ6ht
165,Dreamer,"Axwell /\ Ingrosso",4188691,https://open.spotify.com/track/7hvxMYq9JW5W0vFwiu1Zdr
166,Redbone,"Childish Gambino",4176987,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
167,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",4163885,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
168,Starboy,"The Weeknd",4135688,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
169,"Friends (with BloodPop®)","Justin Bieber",4128600,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
170,"Never Enough","Loren Allred",4118217,https://open.spotify.com/track/0Gl5s8IhMmQE5YQwM8Qx1J
171,"The Weekend - Funk Wav Remix",SZA,4117770,https://open.spotify.com/track/0P6AWOA4LG1XOctzaVu5tt
172,"Perro Fiel (feat. Nicky Jam)",Shakira,4111575,https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL
173,"Mask Off",Future,4046899,https://open.spotify.com/track/0VgkVdmE4gld66l8iyGjgx
174,"Wonderwall - Remastered",Oasis,4039457,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
175,"Opps (with Yugen Blakrok)","Vince Staples",4025948,https://open.spotify.com/track/7bUcBztfGqO7cSI2gMZeCI
176,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,3989719,https://open.spotify.com/track/7w9bgPAmPTtrkt2v16QWvQ
177,"Vai malandra (feat. Tropkillaz & DJ Yuri Martins)",Anitta,3981785,https://open.spotify.com/track/6u0EAxf1OJTLS7CvInuNd7
178,Wait,"Maroon 5",3964592,https://open.spotify.com/track/1Qg9jWGDkKAGZXj5v2OG59
179,"It Ain't Me (with Selena Gomez)",Kygo,3958040,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
180,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",3954909,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
181,"What About Us",P!nk,3939668,https://open.spotify.com/track/0Qh38w01QRXK6KHIv0e3hb
182,"My My My!","Troye Sivan",3937487,https://open.spotify.com/track/2Tq2R8sRftNEqdgJK5HadO
183,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",3922579,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
184,Stay,Zedd,3916420,https://open.spotify.com/track/0I20rLT2MJDhcF96AjbNYo
185,Feels,"Calvin Harris",3915176,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
186,Barking,Ramz,3896699,https://open.spotify.com/track/7amMgNDcObIDkIXv4xcvc2
187,"Scared to Be Lonely","Martin Garrix",3865998,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
188,"Black Panther","Kendrick Lamar",3851259,https://open.spotify.com/track/5qN4HFkapdAOV94XPryVof
189,"Glorious (feat. Skylar Grey)",Macklemore,3833545,https://open.spotify.com/track/0CokSRCu5hZgPxcZBaEzVE
190,Cocky,"A$AP Rocky",3823251,https://open.spotify.com/track/1nO2NjuFkGaAWcMdJ1pNrp
191,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",3803760,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
192,"Wait (feat. A Boogie Wit da Hoodie)","Maroon 5",3797718,https://open.spotify.com/track/0SvxydoxEEkXt9aMAqTfpB
193,"Una Lady Como Tú","Manuel Turizo",3786147,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF
194,"Red Roses (feat. Landon Cube)","Lil Skies",3774679,https://open.spotify.com/track/3ZhTT6yjZwpPph5MIJ53XY
195,"Mr. Brightside","The Killers",3742737,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN
196,"End Game","Taylor Swift",3731912,https://open.spotify.com/track/2x0WlnmfG39ZuDmstl9xfX
197,"'Till I Collapse",Eminem,3719448,https://open.spotify.com/track/6yr8GiTHWvFfi4o6Q5ebdT
198,"The Other Side","Hugh Jackman",3699382,https://open.spotify.com/track/2cKovq3l6OJjhVVDbVKOsr
199,"La Modelo",Ozuna,3694547,https://open.spotify.com/track/2m2ZGfJcs3lHWNPzhWH3XH
200,"Leave a Light On","Tom Walker",3676340,https://open.spotify.com/track/6lOWoTqVnAWXchddtTH31W
