,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,54891573,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,"Psycho (feat. Ty Dolla $ign)","Post Malone",45142484,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
3,"All The Stars (with SZA)","Kendrick Lamar",31352011,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
4,IDGAF,"Dua Lipa",23715748,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
5,Mine,Bazzi,23681960,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
6,"Pray For Me (with Kendrick Lamar)","The Weeknd",22044744,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
7,FRIENDS,Marshmello,21497890,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
8,"Look Alive (feat. Drake)","BlocBoy JB",21284619,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
9,rockstar,"Post Malone",20887230,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
10,Amorfoda,"Bad Bunny",20012260,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF
11,"The Middle",Zedd,19916996,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
12,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,18540453,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
13,Havana,"Camila Cabello",18387735,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
14,Dura,"Daddy Yankee",18341763,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
15,"Love Lies (with Normani)",Khalid,17673376,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
16,"River (feat. Ed Sheeran)",Eminem,16117727,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
17,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",15273701,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
18,"Stir Fry",Migos,15232093,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
19,"Échame La Culpa","Luis Fonsi",14756683,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
20,"Never Be the Same","Camila Cabello",14606123,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
21,"I Fall Apart","Post Malone",14015460,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
22,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",14008002,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
23,"Sick Boy","The Chainsmokers",13896650,https://open.spotify.com/track/2IKZkwHI5zsZf70STuhvOX
24,"New Rules","Dua Lipa",13863483,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
25,Wolves,"Selena Gomez",13281331,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
26,Perfect,"Ed Sheeran",13220175,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
27,"For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne",13155906,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
28,"Him & I (with Halsey)",G-Eazy,12813375,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
29,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",12487513,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
30,Bella,Wolfine,12354627,https://open.spotify.com/track/4R55IUi2x7S5ek2SpebOiE
31,"Let You Down",NF,12188700,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
32,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",11983463,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
33,"Shape of You","Ed Sheeran",11604881,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
34,"Capital Letters","Hailee Steinfeld",11580726,https://open.spotify.com/track/3towKHKVOXCCcL1fHv6xFO
35,"Say Something","Justin Timberlake",11153497,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
36,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",11022200,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l
37,"I Miss You (feat. Julia Michaels)","Clean Bandit",10997291,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
38,Downtown,Anitta,10924085,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
39,Corazón,Maluma,10881032,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou
40,"44 More",Logic,10807964,https://open.spotify.com/track/6iyp6udVpLuq3MCUulZT4h
41,Criminal,"Natti Natasha",10220755,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
42,Heaven,"Julia Michaels",10190097,https://open.spotify.com/track/4QfNOZN7vrQCQKK1ZJ3XPb
43,"Feel It Still","Portugal. The Man",9711388,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
44,Silence,Marshmello,9661189,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
