,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Better Now","Post Malone",29726175,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
2,"One Kiss (with Dua Lipa)","Calvin Harris",28660371,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
3,"All Mine","Kanye West",27716117,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
4,"Nice For What",Drake,23791759,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
5,Yikes,"Kanye West",23601268,https://open.spotify.com/track/2r4JRwcbIeuAzWjH4YXlLs
6,"Ghost Town","Kanye West",23175643,https://open.spotify.com/track/6Bg7MznA9X0dIhlAsLyBYj
7,"I Like It","Cardi B",23024160,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
8,"no tears left to cry","Ariana Grande",22001983,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
9,"Back To You","Selena Gomez",20912096,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
10,"God's Plan",Drake,20825880,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
11,"Te Boté - Remix","Nio Garcia",19481163,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
12,"Lucid Dreams","Juice WRLD",19288712,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
13,X,"Nicky Jam",18861943,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
14,"This Is America","Childish Gambino",18242269,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
15,"Psycho (feat. Ty Dolla $ign)","Post Malone",18005668,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
16,"Wouldn't Leave","Kanye West",17762451,https://open.spotify.com/track/3dG6tjetoR4GMmUGZUprLt
17,Youngblood,"5 Seconds of Summer",17167294,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
18,"I Thought About Killing You","Kanye West",16851806,https://open.spotify.com/track/6EuE9M1viu9gkdFSafia9o
19,FRIENDS,Marshmello,16606478,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
20,"Violent Crimes","Kanye West",16417107,https://open.spotify.com/track/2VYb3Fb5iK5Y8HGZ8oEEkp
21,"Solo (feat. Demi Lovato)","Clean Bandit",16362333,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
22,"Girls Like You (feat. Cardi B)","Maroon 5",16103275,https://open.spotify.com/track/6FRLCMO5TUHTexlWo8ym1W
23,"No Mistakes","Kanye West",15447339,https://open.spotify.com/track/1DdgqEZk4Hqfpl3drdXJun
24,"Yes Indeed","Lil Baby",14987143,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
25,"rockstar (feat. 21 Savage)","Post Malone",14539492,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
26,Nevermind,"Dennis Lloyd",14374793,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
27,Flames,"David Guetta",14144511,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
28,"Love Lies (with Normani)",Khalid,13449764,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
29,"In My Blood","Shawn Mendes",13185802,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
30,"The Middle",Zedd,13088776,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
31,"I'm Upset",Drake,12948208,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
32,"lovely (with Khalid)","Billie Eilish",12737341,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
33,IDGAF,"Dua Lipa",12543530,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
34,"Look Alive (feat. Drake)","BlocBoy JB",12378798,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
35,2002,Anne-Marie,12111825,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
36,"Youth feat. Khalid","Shawn Mendes",12068729,https://open.spotify.com/track/5SwEgzUFDHwpWHKrbnP32Z
37,"Playinwitme (feat. Kehlani)",KYLE,11602849,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
38,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,11543296,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
39,"Freaky Friday (feat. Chris Brown)","Lil Dicky",11491172,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
40,"Taste (feat. Offset)",Tyga,11343659,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
41,"Praise The Lord (Da Shine)","A$AP Rocky",11206771,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
42,"Sin Pijama","Becky G",11189064,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
43,OTW,Khalid,11025169,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
44,"Call Out My Name","The Weeknd",11022220,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
45,"Me Niego",Reik,10990277,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
46,"Remind Me to Forget",Kygo,10358922,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
47,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",10194181,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
48,SAD!,XXXTENTACION,10163407,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
49,Havana,"Camila Cabello",9672278,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
50,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",9408637,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
51,"FAKE LOVE",BTS,9165232,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
52,"Jackie Chan",Tiësto,8992186,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
53,"New Rules","Dua Lipa",8746919,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
54,"Shape of You","Ed Sheeran",8694120,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
55,"All The Stars (with SZA)","Kendrick Lamar",8674010,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
56,Paranoid,"Post Malone",8664026,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
57,Mine,Bazzi,8440962,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
58,"Dura - Remix","Daddy Yankee",8378855,https://open.spotify.com/track/6U2NuJILEOEpW2tVCuqKHb
59,"Walk It Talk It",Migos,8360452,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
60,"All Girls Are The Same","Juice WRLD",8288887,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
61,"Ball For Me (feat. Nicki Minaj)","Post Malone",8242520,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
62,"Plug Walk","Rich The Kid",8236599,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
63,"New Light","John Mayer",8141191,https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV
64,Nervous,"Shawn Mendes",8017396,https://open.spotify.com/track/0Dq49j3dELbttQVUJbtn0c
65,"La Player (Bandolera)","Zion & Lennox",7774439,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
66,"Ric Flair Drip (& Metro Boomin)",Offset,7764619,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
67,"Síguelo Bailando",Ozuna,7711540,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
68,Somebody,"The Chainsmokers",7491647,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
69,Familiar,"Liam Payne",7402406,https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A
70,"Like I Do","David Guetta",7387373,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
71,Dura,"Daddy Yankee",7349714,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
72,Perfect,"Ed Sheeran",7308170,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
73,"El Préstamo",Maluma,7263478,https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz
74,"I Fall Apart","Post Malone",7125999,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
75,"I'll Be There","Jess Glynne",7008908,https://open.spotify.com/track/083Qf6hn6sFL6xiOHlZUyn
76,"Spoil My Night (feat. Swae Lee)","Post Malone",6970269,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
77,"Candy Paint","Post Malone",6868637,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
78,"Madura (feat. Bad Bunny)",Cosculluela,6861373,https://open.spotify.com/track/0r9d60ZYPAlFHq8qnUtkXN
79,"Échame La Culpa","Luis Fonsi",6814731,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
80,Stay,"Post Malone",6739011,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
81,"La Cintura","Alvaro Soler",6729127,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
82,TATI,6ix9ine,6706761,https://open.spotify.com/track/6kp0inxIexxSiDJfWqq0ZL
83,"Audio - with Sia, Diplo & Labrinth",Sia,6624472,https://open.spotify.com/track/7boPPE857KEqCIHNwFkDop
84,Believer,"Imagine Dragons",6541528,https://open.spotify.com/track/7Izh7zLJGw1Nscd62Exxj4
85,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",6528914,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
86,"Por Perro","Sebastian Yatra",6511339,https://open.spotify.com/track/2alIsNw1mqEShbWyO1HXZZ
87,JAPAN,"Famous Dex",6407779,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
88,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)","Rita Ora",6399438,https://open.spotify.com/track/1YNQscOx6OqBQjxgJVhEeW
89,"Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2",Diplo,6365443,https://open.spotify.com/track/5mqzhMuUpvnMfwNz6iepmO
90,Thunder,"Imagine Dragons",6267814,https://open.spotify.com/track/26gceVsA1ybT8qsX3aYLEn
91,"Rich & Sad","Post Malone",6229100,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc
92,"Bella - Remix",Wolfine,6211716,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
93,"XO TOUR Llif3","Lil Uzi Vert",6196186,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
94,"Mad Love","Sean Paul",6177173,https://open.spotify.com/track/3soOPBuMK8YMdWnV7xpEyf
95,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",6091501,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
96,"Te Amo","Piso 21",6066208,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
97,Happier,"Ed Sheeran",5930666,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
98,"Watch (feat. Lil Uzi Vert & Kanye West)","Travis Scott",5827513,https://open.spotify.com/track/3DoBTwfr8yi2LN08SBpFkN
99,"Never Be the Same","Camila Cabello",5792456,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
100,KOD,"J. Cole",5781401,https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI
101,Wolves,"Selena Gomez",5751249,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
102,Criminal,"Natti Natasha",5731746,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
103,"Done For Me (feat. Kehlani)","Charlie Puth",5674710,https://open.spotify.com/track/1lsBTdE6MGsKeZCD6llNu7
104,"Wake Me Up - Radio Edit",Avicii,5656832,https://open.spotify.com/track/6g1NlCpW7fgqDnWbCCDrHl
105,"Start Again (feat. Logic)",OneRepublic,5612208,https://open.spotify.com/track/1Nj2oBISdFDSF8eDuXcALz
106,"Without You (feat. Sandro Cavazza)",Avicii,5608036,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
107,"Shoota (feat. Lil Uzi Vert)","Playboi Carti",5579779,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
108,"Let Me",ZAYN,5523971,https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC
109,Dembow,"Danny Ocean",5515903,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
110,Congratulations,"Post Malone",5499042,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
111,Silence,Marshmello,5461363,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
112,HUMBLE.,"Kendrick Lamar",5460918,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
113,"Give Yourself A Try","The 1975",5439701,https://open.spotify.com/track/619pVMIK3WvX529JIkQTY3
114,Ambiente,"J Balvin",5414911,https://open.spotify.com/track/6VrBWh90BiwWmwKtvwWFcq
115,"Feel It Still","Portugal. The Man",5395038,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
116,"Too Good At Goodbyes","Sam Smith",5373089,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
117,Esskeetit,"Lil Pump",5282266,https://open.spotify.com/track/44KKhCyI0BGS6LvVyDqJtH
118,Chun-Li,"Nicki Minaj",5250217,https://open.spotify.com/track/2gTYVoQCUh0QNUaFix01ld
119,1950,"King Princess",5234910,https://open.spotify.com/track/0CZ8lquoTX2Dkg7Ak2inwA
120,"Jocelyn Flores",XXXTENTACION,5232249,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
121,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",5142339,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
122,"Over Now","Post Malone",5136242,https://open.spotify.com/track/09IOPhEh1OMe0HD9b36FJk
123,"Say You Won't Let Go","James Arthur",5135156,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
124,"Say Something","Justin Timberlake",5094012,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
125,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",5023718,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
126,Corazón,Maluma,5023170,https://open.spotify.com/track/5cepAtqnEQ6yVG6088zMMu
127,"I Wanna Know (feat. Bea Miller)",NOTD,4997729,https://open.spotify.com/track/18W92Zm1KjLCbUIszOhpkD
128,"Lost In Japan","Shawn Mendes",4979681,https://open.spotify.com/track/6WBTeFDEfAJbaSUUc1V1xQ
129,"Young Dumb & Broke",Khalid,4974799,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
130,Ahora,"J Balvin",4931935,https://open.spotify.com/track/2yBWnRKj0Zx7AF1kufajvW
131,Downtown,Anitta,4893741,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
132,Delicate,"Taylor Swift",4879526,https://open.spotify.com/track/7CneiDesUKFJO3Ix01dnfr
133,"Mi Gente","J Balvin",4861447,https://open.spotify.com/track/7COfe3P7KgfwDwIRB8LIDw
134,"92 Explorer","Post Malone",4842240,https://open.spotify.com/track/1D2L6MefbXon28PzIk9I3r
135,Moonlight,XXXTENTACION,4828958,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
136,"What Lovers Do (feat. SZA)","Maroon 5",4822678,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
137,"Sangria Wine","Pharrell Williams",4798990,https://open.spotify.com/track/6XlSyYFTU1nodeWwwzVgTV
138,Unforgettable,"French Montana",4763690,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
139,"Champion (feat. Travis Scott)",NAV,4762916,https://open.spotify.com/track/6nO3tr47nr2P7f3hXb8JIo
140,Unica,Ozuna,4735816,https://open.spotify.com/track/6752EZMgXswvRBH3N2PilO
141,"Be Careful","Cardi B",4714169,https://open.spotify.com/track/2Yl4OmDby9iitgNWZPwxkd
142,"I Like Me Better",Lauv,4711241,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
143,goosebumps,"Travis Scott",4703257,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
144,"Pray For Me (with Kendrick Lamar)","The Weeknd",4673558,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
145,"Let You Down",NF,4642580,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
146,Sensualidad,"Bad Bunny",4630900,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
147,Africa,Toto,4626341,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
148,"The Night We Met","Lord Huron",4626263,https://open.spotify.com/track/6mORGLOz79w6VsCRLWYYuK
149,Solita,Ozuna,4625265,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E
150,"This Is Me","Keala Settle",4618405,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
151,"One Dance",Drake,4602943,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
152,"Something Just Like This","The Chainsmokers",4601392,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
153,"Mi Cama","Karol G",4589975,https://open.spotify.com/track/7sFYVcKSb24qg0dAkqLEFj
154,"Rewrite The Stars","Zac Efron",4571465,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
155,Body,"Loud Luxury",4562745,https://open.spotify.com/track/43V1z6QToNNWNldV4FEG6r
156,"Dusk Till Dawn - Radio Edit",ZAYN,4558536,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
157,Everyday,Logic,4534625,https://open.spotify.com/track/4EAV2cKiqKP5UPZmY6dejk
