,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",41954303,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",31148293,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
3,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",29286103,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
4,"2U (feat. Justin Bieber)","David Guetta",26556776,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
5,"Shape of You","Ed Sheeran",24376850,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
6,Unforgettable,"French Montana",23218772,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
7,Attention,"Charlie Puth",21275037,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
8,Feels,"Calvin Harris",20953829,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
9,Thunder,"Imagine Dragons",20499097,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
10,"Strip That Down","Liam Payne",19527026,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
11,Mama,"Jonas Blue",18851848,https://open.spotify.com/track/4xlrALxuaCf9yZBHJeTSG6
12,"There's Nothing Holdin' Me Back","Shawn Mendes",18552275,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
13,"XO TOUR Llif3","Lil Uzi Vert",17759337,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
14,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",17149770,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
15,HUMBLE.,"Kendrick Lamar",17102414,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
16,"Something Just Like This","The Chainsmokers",16560123,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
17,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",16264908,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
18,Slide,"Calvin Harris",16236727,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
19,Signs,Drake,15960379,https://open.spotify.com/track/6Na5uKk5SsqZimk0hAWo8y
20,"There for You","Martin Garrix",15581457,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
21,Believer,"Imagine Dragons",15276562,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
22,"Stay (with Alessia Cara)",Zedd,14554290,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
23,"Felices los 4",Maluma,14126606,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
24,Congratulations,"Post Malone",14093043,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
25,"More Than You Know","Axwell /\ Ingrosso",13941245,https://open.spotify.com/track/4q8PHoRsPUB52LFylX8Ulz
26,"That's What I Like","Bruno Mars",13701378,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
27,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",13604504,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
28,"Symphony (feat. Zara Larsson)","Clean Bandit",13281412,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
29,"Bad Liar","Selena Gomez",13088098,https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23
30,"Me Rehúso","Danny Ocean",12917620,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
31,"Mask Off",Future,12861099,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
32,"Mi Gente","J Balvin",12176209,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
33,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)","Major Lazer",12055667,https://open.spotify.com/track/3Ytr1SUCUi6J3L9dRFx5iH
34,"It Ain't Me (with Selena Gomez)",Kygo,11966491,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
35,"Slow Hands","Niall Horan",11861691,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh
36,"Your Song","Rita Ora",11853127,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
37,"Crying in the Club","Camila Cabello",11666166,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev
38,Rollin,"Calvin Harris",11630743,https://open.spotify.com/track/0lMbuWUpfTWhEmOKxppEau
39,Redbone,"Childish Gambino",11326377,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
40,"SUBEME LA RADIO","Enrique Iglesias",11071778,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
41,Malibu,"Miley Cyrus",11002831,https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O
42,"No Promises (feat. Demi Lovato)","Cheat Codes",10893877,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
43,"First Time",Kygo,10657397,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
44,"Galway Girl","Ed Sheeran",10600138,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
45,Location,Khalid,10312884,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
46,"Escápate Conmigo",Wisin,10014001,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6
47,Passionfruit,Drake,9702366,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
48,"Now Or Never",Halsey,9602925,https://open.spotify.com/track/0Nhu3zSYbEz32IYiobV75e
49,DNA.,"Kendrick Lamar",9203753,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
50,1-800-273-8255,Logic,9178533,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
51,"Swish Swish","Katy Perry",8324872,https://open.spotify.com/track/2kVHAQKVtczchKctctzbtK
52,"Ahora Dice","Chris Jeday",8128807,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy
53,"Hey DJ",CNCO,7819623,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl
54,"Sign of the Times","Harry Styles",7706078,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
55,Issues,"Julia Michaels",7499588,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
56,OK,"Robin Schulz",7456994,https://open.spotify.com/track/3bWAqKDWg6u1davspr5IkS
57,"Most Girls","Hailee Steinfeld",7291457,https://open.spotify.com/track/2mfUa8bLs2s5N4VaqJZ4lZ
58,"I Like Me Better",Lauv,7270630,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
59,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",7187375,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
60,"BUTTERFLY EFFECT","Travis Scott",7106024,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX
61,"Una Lady Como Tú","Manuel Turizo",7052780,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF
62,goosebumps,"Travis Scott",7015172,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
63,Closer,"The Chainsmokers",6944227,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
