,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,54061893,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,Havana,"Camila Cabello",25410902,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
3,rockstar,"Post Malone",24751902,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
4,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",20260198,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
5,"River (feat. Ed Sheeran)",Eminem,20209573,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
6,IDGAF,"Dua Lipa",20023931,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
7,"Échame La Culpa","Luis Fonsi",18269432,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
8,"Never Be the Same","Camila Cabello",17732463,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
9,"Let You Down",NF,17315378,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
10,Wolves,"Selena Gomez",17221438,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
11,"Him & I (with Halsey)",G-Eazy,16966249,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
12,"New Rules","Dua Lipa",16469329,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
13,Perfect,"Ed Sheeran",16413723,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
14,"Sick Boy","The Chainsmokers",14973023,https://open.spotify.com/track/7jqDzXJS0K0Re8uphYNit0
15,"All The Stars (with SZA)","Kendrick Lamar",14904298,https://open.spotify.com/track/12SJpYZEdj4kzWZ8FPFg4Y
16,"Stir Fry",Migos,14698611,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
17,"Shape of You","Ed Sheeran",14105776,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
18,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",13912384,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
19,"I Fall Apart","Post Malone",13892465,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
20,"Rewrite The Stars","Zac Efron",13426904,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
21,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",12938147,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
22,"Too Good At Goodbyes","Sam Smith",12547061,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
23,"What Lovers Do (feat. SZA)","Maroon 5",12538382,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
24,Narcos,Migos,12517414,https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK
25,"I Miss You (feat. Julia Michaels)","Clean Bandit",12440678,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
26,Silence,Marshmello,12381234,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
27,Corazón,Maluma,12360590,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou
28,"The Middle",Zedd,12200748,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
29,Downtown,Anitta,11880423,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
30,"Walk It Talk It",Migos,11871747,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
31,"This Is Me","Keala Settle",11801603,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
32,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",11487845,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
33,"No Limit",G-Eazy,11423813,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
34,Sensualidad,"Bad Bunny",10975966,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
35,Bella,Wolfine,10972830,https://open.spotify.com/track/4R55IUi2x7S5ek2SpebOiE
36,MotorSport,Migos,10910672,https://open.spotify.com/track/4wFjTWCunQFKtukqrNijEt
37,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",10851195,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l
38,Criminal,"Natti Natasha",10615720,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
39,Thunder,"Imagine Dragons",10531035,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
40,"Dusk Till Dawn - Radio Edit",ZAYN,10508138,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
41,Anywhere,"Rita Ora",10477243,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
