,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
42,"Bartier Cardi (feat. 21 Savage)","Cardi B",10205200,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT
43,"Feel It Still","Portugal. The Man",10089671,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
44,"Ric Flair Drip (& Metro Boomin)",Offset,10066720,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
45,"Say Something","Justin Timberlake",10030315,https://open.spotify.com/track/09ts3GnICqYEU5PkQCpJK3
46,"XO TOUR Llif3","Lil Uzi Vert",9946553,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
47,"Tip Toe (feat. French Montana)","Jason Derulo",9943095,https://open.spotify.com/track/2z4pcBLQXF2BXKFvd0BuB6
48,"Young Dumb & Broke",Khalid,9693694,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
49,Mine,Bazzi,9529305,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
50,HUMBLE.,"Kendrick Lamar",9426465,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
51,"EL BAÑO","Enrique Iglesias",9412949,https://open.spotify.com/track/2vvdTrdryjsl8DmPIMDWZU
52,"Gucci Gang","Lil Pump",9389726,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
53,Congratulations,"Post Malone",9162721,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
54,"Diplomatic Immunity",Drake,9109979,https://open.spotify.com/track/5goGDc74vVREyN8al8CkPh
55,"BBO (Bad Bitches Only)",Migos,9035628,https://open.spotify.com/track/4BHzHISX21PYwGXiBEUQ70
56,"Candy Paint","Post Malone",8902987,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
57,Dura,"Daddy Yankee",8887504,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
58,"How Long","Charlie Puth",8782338,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
59,"So Far Away","Martin Garrix",8776414,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
60,"Notice Me",Migos,8327068,https://open.spotify.com/track/3OnOomd79OjqSYHchCQ6ht
61,"LOVE. FEAT. ZACARI.","Kendrick Lamar",8165995,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
62,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,8111587,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
63,"Se Preparó",Ozuna,8007871,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
64,Machika,"J Balvin",7958019,https://open.spotify.com/track/6MNGxu8MprKGkchUchkJsy
65,1-800-273-8255,Logic,7684172,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
66,Unforgettable,"French Montana",7578181,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
67,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",7551399,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd
68,"Bum Bum Tam Tam","MC Fioti",7524726,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr
69,"Mi Gente","J Balvin",7478500,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
70,Betrayed,"Lil Xan",7298631,https://open.spotify.com/track/6NWl2m8asvH83xjuXVNsuG
71,"Me Rehúso","Danny Ocean",7294950,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
72,"Bank Account","21 Savage",7229404,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
73,Attention,"Charlie Puth",7168018,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
74,"For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne",7157101,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
75,Mayores,"Becky G",7126381,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau
76,Believer,"Imagine Dragons",7097834,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
77,Stargazing,Kygo,7052981,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
78,"Codeine Dreaming (feat. Lil Wayne)","Kodak Black",7041974,https://open.spotify.com/track/4DTpngLjoHj5gFxEZFeD3J
79,"All Falls Down","Alan Walker",6979319,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
80,"Gang Gang",Migos,6973684,https://open.spotify.com/track/6RKkHI2fkmgZq7uQPPav8f
81,Supastars,Migos,6939524,https://open.spotify.com/track/7yt6eiZQCkVFEzwGp4Pbor
82,"Sky Walker",Miguel,6937834,https://open.spotify.com/track/5WoaF1B5XIEnWfmb5NZikf
83,"She Loves Control","Camila Cabello",6918334,https://open.spotify.com/track/5HwnezK198pJCEj1l2Adjy
84,"My My My!","Troye Sivan",6876946,https://open.spotify.com/track/2Tq2R8sRftNEqdgJK5HadO
85,"Plain Jane","A$AP Ferg",6868064,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9
86,"Sorry Not Sorry","Demi Lovato",6860070,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
87,"I Like Me Better",Lauv,6771925,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
88,"Something Just Like This","The Chainsmokers",6684566,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
89,Location,Khalid,6594659,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
90,"Lonely Together (feat. Rita Ora)",Avicii,6590468,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
91,"End Game","Taylor Swift",6516726,https://open.spotify.com/track/2x0WlnmfG39ZuDmstl9xfX
92,"White Sand",Migos,6513207,https://open.spotify.com/track/2KokOIKdw4zZutDil85Ugh
93,"More Than You Know","Axwell /\ Ingrosso",6502264,https://open.spotify.com/track/71bBFbfn2OBK5QwUJSLS44
94,"The Greatest Show","Hugh Jackman",6441865,https://open.spotify.com/track/43ay9lQZ5rfNcOOHhRF2cM
95,"Tell Me You Love Me","Demi Lovato",6438907,https://open.spotify.com/track/5Htb1uFQ1KrkFXlefS8oGj
96,Naked,"James Arthur",6399537,https://open.spotify.com/track/7krbSH3rd8lhIZvuzTV3Bl
97,"Say You Won't Let Go","James Arthur",6299889,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
98,"Bodak Yellow","Cardi B",6280585,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM
99,"Jocelyn Flores",XXXTENTACION,6237911,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
100,SUTRA,"Sebastian Yatra",6224427,https://open.spotify.com/track/5TmZYdHW6HJ9gt7Aokuql5
101,"Quiero Repetir",Ozuna,5951541,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri
102,"Perro Fiel (feat. Nicky Jam)",Shakira,5947538,https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL
103,"Never Enough","Loren Allred",5916723,https://open.spotify.com/track/0Gl5s8IhMmQE5YQwM8Qx1J
104,"Que Va","Alex Sensation",5876565,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O
105,"A Million Dreams","Ziv Zaifman",5822659,https://open.spotify.com/track/0RoA7ObU6phWpqhlC9zH4Z
106,"Vai malandra (feat. Tropkillaz & DJ Yuri Martins)",Anitta,5820777,https://open.spotify.com/track/6u0EAxf1OJTLS7CvInuNd7
107,"That's What I Like","Bruno Mars",5819258,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
108,"Despacito - Remix","Luis Fonsi",5802829,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
109,"Báilame - Remix",Nacho,5769234,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr
110,Wait,"Maroon 5",5728007,https://open.spotify.com/track/1Qg9jWGDkKAGZXj5v2OG59
111,"Suena El Dembow","Joey Montana",5690239,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI
112,"Escápate Conmigo (feat. Ozuna)",Wisin,5654763,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc
113,goosebumps,"Travis Scott",5540665,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
114,"Nowadays (feat. Landon Cube)","Lil Skies",5533077,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp
115,"Miss You (with Major Lazer & Tory Lanez)","Cashmere Cat",5526481,https://open.spotify.com/track/0as7lPxkBPctZ7uVmchRNM
116,"There's Nothing Holdin' Me Back","Shawn Mendes",5508608,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
117,"Havana - Remix","Camila Cabello",5491078,https://open.spotify.com/track/3whrwq4DtvucphBPUogRuJ
118,Solita,Ozuna,5476103,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E
119,"Strip That Down","Liam Payne",5432811,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
120,"Robarte un Beso","Carlos Vives",5412278,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k
121,"Friends (with BloodPop®)","Justin Bieber",5385889,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
122,"Emoji A Chain",Migos,5354839,https://open.spotify.com/track/0G9rmRmQDFk9O2tzZLyRkc
123,Esperándote,"Manuel Turizo",5326580,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj
124,"Real Friends","Camila Cabello",5321238,https://open.spotify.com/track/3iq9nhbI8fcnNamxMft1uv
125,"The Other Side","Hugh Jackman",5293816,https://open.spotify.com/track/2cKovq3l6OJjhVVDbVKOsr
126,Dembow,"Danny Ocean",5278627,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
127,Photograph,"Ed Sheeran",5253280,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
128,"Symphony (feat. Zara Larsson)","Clean Bandit",5253036,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
129,"Felices los 4",Maluma,5230576,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
130,"Higher We Go - Intro",Migos,5211916,https://open.spotify.com/track/43dOwOq0mB4i6j4SpcSkqC
131,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)","Machine Gun Kelly",5188376,https://open.spotify.com/track/0OI7AFifLSoGzpb8bdBLLV
132,"I Get The Bag (feat. Migos)","Gucci Mane",5155078,https://open.spotify.com/track/1XRgIKC5TPwo7nWGyKqgG0
133,"Whatever It Takes","Imagine Dragons",5125313,https://open.spotify.com/track/4IWAyPf1KMq7JCyGeCjTeH
134,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",5104211,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
135,Vuelve,"Daddy Yankee",5089832,https://open.spotify.com/track/0lJCqIx5BhZtf6QtYI2fbv
136,"BUTTERFLY EFFECT","Travis Scott",5080987,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX
137,"Galway Girl","Ed Sheeran",5032573,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
138,"Thinking Out Loud","Ed Sheeran",5027664,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
139,"Capital Letters","Hailee Steinfeld",5021689,https://open.spotify.com/track/3towKHKVOXCCcL1fHv6xFO
140,"Bella y Sensual","Romeo Santos",4976351,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3
141,"Scooby Doo Pa Pa","Dj Kass",4932545,https://open.spotify.com/track/1xndOD8CreR5ctkOv5G1LN
142,Closer,"The Chainsmokers",4918713,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
143,"Déjate Llevar","Juan Magán",4906009,https://open.spotify.com/track/3xWEI23MLJrD0dpDcDUTW6
144,Dreamer,"Axwell /\ Ingrosso",4904497,https://open.spotify.com/track/0RTzJVkunbGwuRjXDFHnjf
145,"Go Flex","Post Malone",4884761,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ
146,Breathe,"Jax Jones",4864351,https://open.spotify.com/track/6tvQzeCPwOytDlBYCIOY0n
147,Redbone,"Childish Gambino",4860331,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
148,"Síguelo Bailando",Ozuna,4806949,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
149,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",4803417,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
150,"Man's Not Hot","Big Shaq",4799059,https://open.spotify.com/track/2nUJvBO87SkxCViQsLc9Zr
151,"What About Us",P!nk,4794509,https://open.spotify.com/track/0Qh38w01QRXK6KHIv0e3hb
152,"Auto Pilot",Migos,4789518,https://open.spotify.com/track/4Kw3CztmD15X1QGDnnHmLD
153,"One Dance",Drake,4787322,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
154,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",4786942,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
155,Issues,"Julia Michaels",4767524,https://open.spotify.com/track/7vu0JkJh0ldukEYbTVcqd0
156,DNA.,"Kendrick Lamar",4672759,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
157,"Roll In Peace (feat. XXXTENTACION)","Kodak Black",4664785,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI
158,Feels,"Calvin Harris",4664057,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
159,CC,Migos,4647065,https://open.spotify.com/track/35ffVv9x4mtzBh5rF1K9sP
160,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,4639901,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
161,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,4637418,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
162,Mama,"Jonas Blue",4634452,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
163,"Wanted You (feat. Lil Uzi Vert)",NAV,4622213,https://open.spotify.com/track/790MhTXPFrYkrqCKvpg4t1
164,KEKE,6ix9ine,4566519,https://open.spotify.com/track/0zl3PdjIl320fK0pxBGWNR
165,"Glorious (feat. Skylar Grey)",Macklemore,4553933,https://open.spotify.com/track/0CokSRCu5hZgPxcZBaEzVE
166,Filthy,"Justin Timberlake",4544744,https://open.spotify.com/track/1L3NV7VrCiuE8C5QlhdeQL
167,"Mask Off",Future,4537596,https://open.spotify.com/track/0VgkVdmE4gld66l8iyGjgx
168,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",4513149,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
169,Passionfruit,Drake,4484135,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
170,Bonita,"J Balvin",4446097,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v
171,"It Ain't Me (with Selena Gomez)",Kygo,4386369,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
172,"Look What You Made Me Do","Taylor Swift",4363423,https://open.spotify.com/track/5troof8mcGO3AafoDbk1gc
173,"Come Alive","Hugh Jackman",4331674,https://open.spotify.com/track/5xNUR50KxswPRAvx7S163g
174,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",4321484,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
175,Barking,Ramz,4319886,https://open.spotify.com/track/7amMgNDcObIDkIXv4xcvc2
176,"The Weekend - Funk Wav Remix",SZA,4309223,https://open.spotify.com/track/0P6AWOA4LG1XOctzaVu5tt
177,Stay,Zedd,4291410,https://open.spotify.com/track/0I20rLT2MJDhcF96AjbNYo
178,"Without You (feat. Sandro Cavazza)",Avicii,4278262,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
179,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",4264316,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
180,Starboy,"The Weeknd",4259930,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
181,"24K Magic","Bruno Mars",4255394,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
182,"Too Much Jewelry",Migos,4241959,https://open.spotify.com/track/4loAa1lBkE83qJXU1ddmCV
183,Spotlight,Marshmello,4241286,https://open.spotify.com/track/6VrCmhRBFnuGKmtNfk4jDs
184,"From Now On","Hugh Jackman",4229412,https://open.spotify.com/track/3IkWmgGsXbsafrunwPojXO
185,"Una Lady Como Tú","Manuel Turizo",4224079,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF
186,"Bad At Love",Halsey,4188219,https://open.spotify.com/track/7y9iMe8SOB6z3NoHE2OfXl
187,"Slippery (feat. Gucci Mane)",Migos,4187655,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE
188,"Cara Italia",Ghali,4187081,https://open.spotify.com/track/7K8krdGeSIvwDGw1WUqJuK
189,"Cupido (feat. Quavo)","Sfera Ebbasta",4178358,https://open.spotify.com/track/0dLToDou8YHYJpQltj3Ijy
190,"White Iverson","Post Malone",4144151,https://open.spotify.com/track/6eT7xZZlB2mwyzJ2sUKG6w
191,Happier,"Ed Sheeran",4067177,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
192,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",4028247,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
193,"'Till I Collapse",Eminem,3965342,https://open.spotify.com/track/6yr8GiTHWvFfi4o6Q5ebdT
194,"Scared to Be Lonely","Martin Garrix",3962702,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
195,"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert",3888993,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
196,"Castle on the Hill","Ed Sheeran",3883863,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
197,"Dirty Sexy Money (feat. Charli XCX & French Montana)","David Guetta",3860221,https://open.spotify.com/track/0tPQPaOKM32WgMSbPCYyRH
198,Explícale,Yandel,3851225,https://open.spotify.com/track/1LszjjoVwDDZcWUQbzeDLG
199,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,3844823,https://open.spotify.com/track/7w9bgPAmPTtrkt2v16QWvQ
200,"La Modelo",Ozuna,3821060,https://open.spotify.com/track/2m2ZGfJcs3lHWNPzhWH3XH
