,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,rockstar,"Post Malone",35751279,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
2,Havana,"Camila Cabello",28710729,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
3,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",26494583,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
4,Wolves,"Selena Gomez",23749600,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
5,"New Rules","Dua Lipa",23441236,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
6,Perfect,"Ed Sheeran",21769985,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
7,"Gucci Gang","Lil Pump",21170947,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
8,"Too Good At Goodbyes","Sam Smith",20232108,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
9,"Let You Down",NF,19989871,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
10,"All I Want for Christmas Is You","Mariah Carey",19808428,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
11,"What Lovers Do (feat. SZA)","Maroon 5",19787867,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
12,"Échame La Culpa","Luis Fonsi",18807868,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
13,Silence,Marshmello,17813213,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
14,"Dusk Till Dawn - Radio Edit",ZAYN,17171033,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
15,"I Fall Apart","Post Malone",16365139,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
16,"Shape of You","Ed Sheeran",14433120,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
17,"Candy Paint","Post Malone",14377877,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
18,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",14175611,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
19,"Young Dumb & Broke",Khalid,13722318,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
20,"Last Christmas",Wham!,13594807,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
21,"How Long","Charlie Puth",13396344,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
22,"Him & I",G-Eazy,12997274,https://open.spotify.com/track/3YU6vJbjYUG0tiJyXf9x5V
23,"I Miss You (feat. Julia Michaels)","Clean Bandit",12899185,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
24,1-800-273-8255,Logic,12569056,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
25,Sensualidad,"Bad Bunny",12338839,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
26,Stargazing,Kygo,11909654,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
27,Criminal,"Natti Natasha",11858083,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
28,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",11824609,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
29,Thunder,"Imagine Dragons",11791181,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
30,"XO TOUR Llif3","Lil Uzi Vert",11668581,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
31,Downtown,Anitta,11129371,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
32,"Ric Flair Drip (& Metro Boomin)",Offset,10965630,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
33,Congratulations,"Post Malone",10939950,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
34,"Bank Account","21 Savage",10908954,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
35,Unforgettable,"French Montana",10888908,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
