,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,rockstar,"Post Malone",46473893,https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R
2,"New Rules","Dua Lipa",25621918,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
3,"Too Good At Goodbyes - Edit","Sam Smith",23507492,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y
4,"Dusk Till Dawn - Radio Edit",ZAYN,22376234,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
5,Havana,"Camila Cabello",22283674,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
6,1-800-273-8255,Logic,21783372,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
7,"Mi Gente","J Balvin",20801982,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
8,Silence,Marshmello,19209349,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
9,"Look What You Made Me Do","Taylor Swift",18869856,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
10,"Sorry Not Sorry","Demi Lovato",18254587,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
11,"What Lovers Do (feat. SZA)","Maroon 5",18224430,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt
12,Unforgettable,"French Montana",18142211,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
13,"Friends (with BloodPop®)","Justin Bieber",16776196,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
14,"Glorious (feat. Skylar Grey)",Macklemore,15934841,https://open.spotify.com/track/0CokSRCu5hZgPxcZBaEzVE
15,"Mi Gente (feat. Beyoncé)","J Balvin",15823808,https://open.spotify.com/track/7fwXWKdDNI5IutOMc5OKYw
16,Thunder,"Imagine Dragons",15705780,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
17,Perfect,"Ed Sheeran",15595734,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
18,"Shape of You","Ed Sheeran",15091892,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
19,"Young Dumb & Broke",Khalid,14831073,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
20,"Jocelyn Flores",XXXTENTACION,14809428,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
21,"Bodak Yellow","Cardi B",14718755,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM
22,"XO TOUR Llif3","Lil Uzi Vert",14482880,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
23,Feels,"Calvin Harris",13674759,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
24,Attention,"Charlie Puth",13138705,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
25,"Bank Account","21 Savage",13057714,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
26,"Without You (feat. Sandro Cavazza)",Avicii,12647804,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
27,Congratulations,"Post Malone",12492607,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
28,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",12298679,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
29,"I Like Me Better",Lauv,12294308,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
30,"Strip That Down","Liam Payne",12041785,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
31,"Despacito - Remix","Luis Fonsi",11917798,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
32,"More Than You Know","Axwell /\ Ingrosso",11806311,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
33,"Me Rehúso","Danny Ocean",11611397,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
34,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",11349656,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
35,"What About Us",P!nk,11246174,https://open.spotify.com/track/31MkGwj0SWgZaTvEt5Hgxv
36,HUMBLE.,"Kendrick Lamar",11170108,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
37,"Feel It Still","Portugal. The Man",10797530,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
38,Mama,"Jonas Blue",10645101,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
39,"Lonely Together (feat. Rita Ora)",Avicii,10535532,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
40,"There's Nothing Holdin' Me Back","Shawn Mendes",10500230,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
41,"I Fall Apart","Post Malone",9833961,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
42,"Felices los 4",Maluma,9538522,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
