,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,rockstar,"Post Malone",42953918,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
2,Havana,"Camila Cabello",31698582,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
3,"New Rules","Dua Lipa",26127050,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
4,Wolves,"Selena Gomez",22975485,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
5,"What Lovers Do (feat. SZA)","Maroon 5",22121324,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt
6,"Dusk Till Dawn - Radio Edit",ZAYN,22084551,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
7,Perfect,"Ed Sheeran",20839614,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
8,"Too Good At Goodbyes - Edit","Sam Smith",20625889,https://open.spotify.com/track/0mel2N9Ws9r4yLQn5QE21Y
9,Silence,Marshmello,20339368,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
10,1-800-273-8255,Logic,18413238,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
11,"Let You Down",NF,18223998,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
12,"Gucci Gang","Lil Pump",17494529,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
13,"I Fall Apart","Post Malone",17032970,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
14,"Young Dumb & Broke",Khalid,15567021,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
15,"Sorry Not Sorry","Demi Lovato",14441547,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
16,"Mi Gente","J Balvin",14414610,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
17,"Shape of You","Ed Sheeran",13989713,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
18,"Feel It Still","Portugal. The Man",13861426,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
19,"How Long","Charlie Puth",13830501,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
20,"Glorious (feat. Skylar Grey)",Macklemore,13782986,https://open.spotify.com/track/0CokSRCu5hZgPxcZBaEzVE
21,Unforgettable,"French Montana",13685437,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
22,Stargazing,Kygo,13657573,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
23,"XO TOUR Llif3","Lil Uzi Vert",12682365,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
24,Thunder,"Imagine Dragons",12651182,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
25,"Bank Account","21 Savage",12638207,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
26,"Lonely Together (feat. Rita Ora)",Avicii,12435827,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
27,"Friends (with BloodPop®)","Justin Bieber",12268365,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
28,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",12033466,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
29,Congratulations,"Post Malone",11813305,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
30,"Mi Gente (feat. Beyoncé)","J Balvin",11651377,https://open.spotify.com/track/7fwXWKdDNI5IutOMc5OKYw
31,"What About Us",P!nk,11285744,https://open.spotify.com/track/0Qh38w01QRXK6KHIv0e3hb
32,"Bodak Yellow","Cardi B",11047320,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM
33,Criminal,"Natti Natasha",10832483,https://open.spotify.com/track/2SmgFAhQkQCQPyBiBxR6Te
34,Attention,"Charlie Puth",10832277,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
35,"Se Preparó",Ozuna,10738974,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
36,"Me Rehúso","Danny Ocean",10699755,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
37,"Look What You Made Me Do","Taylor Swift",10581319,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
38,"Jocelyn Flores",XXXTENTACION,10226150,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
39,Mayores,"Becky G",10126403,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau
40,"More Than You Know","Axwell /\ Ingrosso",10099343,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
41,"I Like Me Better",Lauv,9935362,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
42,HUMBLE.,"Kendrick Lamar",9673966,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
43,Feels,"Calvin Harris",9630041,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
44,"Too Much To Ask","Niall Horan",9614385,https://open.spotify.com/track/4v094LQ9eF10k2O2Te2ngK
45,MotorSport,Migos,9541096,https://open.spotify.com/track/1YZfcVLbbJwfizR5cDOp3q
46,"Without You (feat. Sandro Cavazza)",Avicii,9187878,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
47,Gorgeous,"Taylor Swift",9028227,https://open.spotify.com/track/5Gd19NupVe5X8bAqxf9Iaz
