,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
23,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",13538275,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
24,"Felices los 4",Maluma,13475018,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
25,"Me Rehúso","Danny Ocean",13209259,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
26,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",13152124,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
27,Congratulations,"Post Malone",13129524,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
28,Believer,"Imagine Dragons",13031147,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
29,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",12554272,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
30,"Your Song","Rita Ora",12207495,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
31,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)","Major Lazer",12137952,https://open.spotify.com/track/3Ytr1SUCUi6J3L9dRFx5iH
32,"Slow Hands","Niall Horan",12120483,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh
33,Signs,Drake,11450674,https://open.spotify.com/track/5EnYT6F7wEcdege6mDHEfO
34,"I Like Me Better",Lauv,11170807,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
35,"Crying in the Club","Camila Cabello",11002131,https://open.spotify.com/track/1SJtlNRJDeYHioymcvsqev
36,"Symphony (feat. Zara Larsson)","Clean Bandit",10802173,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
37,"Bad Liar","Selena Gomez",10778649,https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23
38,"Bank Account","21 Savage",10729923,https://open.spotify.com/track/5eqK0tbzUPo2SoeZsov04s
39,Slide,"Calvin Harris",10434454,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl
40,"Glorious (feat. Skylar Grey)",Macklemore,10430399,https://open.spotify.com/track/3HVr6jTVwBHBa2flM0eURR
41,"That's What I Like","Bruno Mars",10374656,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
42,"Escápate Conmigo",Wisin,10107595,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6
43,"Stay (with Alessia Cara)",Zedd,10101322,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
44,"BUTTERFLY EFFECT","Travis Scott",9932749,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX
45,Redbone,"Childish Gambino",9772200,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
46,"Una Lady Como Tú","Manuel Turizo",9713133,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF
47,"No Promises (feat. Demi Lovato)","Cheat Codes",9662346,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
48,Location,Khalid,9501669,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
49,"SUBEME LA RADIO","Enrique Iglesias",9370940,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
50,"Mask Off",Future,9336182,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
51,"It Ain't Me (with Selena Gomez)",Kygo,8347268,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
52,Bonita,"J Balvin",8325460,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v
53,"Ahora Dice","Chris Jeday",8248405,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy
54,"Galway Girl","Ed Sheeran",7980191,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
55,"Most Girls","Hailee Steinfeld",7652159,https://open.spotify.com/track/2mfUa8bLs2s5N4VaqJZ4lZ
56,"Hey DJ",CNCO,7442674,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl
57,Praying,Kesha,7252697,https://open.spotify.com/track/79NlESqzFSW0hdBWgls4FX
58,1-800-273-8255,Logic,7133249,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
59,OK,"Robin Schulz",7125086,https://open.spotify.com/track/3bWAqKDWg6u1davspr5IkS
60,DNA.,"Kendrick Lamar",7080431,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
61,Malibu,"Miley Cyrus",6977965,https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O
62,"Now Or Never",Halsey,6900443,https://open.spotify.com/track/7i2DJ88J7jQ8K7zqFX2fW8
63,"Rich Love (with Seeb)",OneRepublic,6886078,https://open.spotify.com/track/7aF09WaavZAmAWuUeYxlYD
64,"Body Like A Back Road","Sam Hunt",6759877,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
65,Passionfruit,Drake,6677327,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
66,goosebumps,"Travis Scott",6621762,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
67,"Feel It Still","Portugal. The Man",6491874,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
68,Rollin,"Calvin Harris",6489368,https://open.spotify.com/track/0lMbuWUpfTWhEmOKxppEau
69,"Get Low (with Liam Payne)",Zedd,6481070,https://open.spotify.com/track/1CKd1PnqfYx0H12V9MSaIY
70,"First Time",Kygo,6454352,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
71,"Say You Won't Let Go","James Arthur",6421264,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
72,"In The End","Linkin Park",6385410,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
73,Down,"Fifth Harmony",6352128,https://open.spotify.com/track/7LEydI5NfjY6mZfKwYIptZ
74,Issues,"Julia Michaels",6337525,https://open.spotify.com/track/6D0b04NJIKfEMg040WioJQ
75,"Young Dumb & Broke",Khalid,6291765,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
76,Closer,"The Chainsmokers",6198210,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
77,"Slippery (feat. Gucci Mane)",Migos,6151277,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE
78,"Tu Foto",Ozuna,6091021,https://open.spotify.com/track/0Szp49tpFasIjX04Mcsydp
79,"Me Enamoré",Shakira,6007607,https://open.spotify.com/track/4qknM1pQz53QOyfDVTjcM9
80,Magnolia,"Playboi Carti",5754301,https://open.spotify.com/track/1e1JKLEDKP7hEQzJfNAgPl
81,"Sign of the Times","Harry Styles",5752099,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
82,"Love Galore",SZA,5742151,https://open.spotify.com/track/0q75NwOoFiARAVp4EXU4Bs
83,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",5724401,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
84,"La Rompe Corazones","Daddy Yankee",5694226,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3
85,"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar",5594991,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n
86,"Came Here for Love",Sigala,5486528,https://open.spotify.com/track/3kGfazcbVvVkuZunzlLgTD
87,"Scared to Be Lonely","Martin Garrix",5362044,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
88,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,5345691,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
89,"El Amante","Nicky Jam",5305727,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
90,Numb,"Linkin Park",5298868,https://open.spotify.com/track/2nLtzopw4rPReszdYBJU6h
91,"Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version",Pitbull,5232716,https://open.spotify.com/track/2Vdub5mY4lad7w64bFPUez
92,Starboy,"The Weeknd",5216542,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
93,"One Dance",Drake,5176704,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
94,"I Feel It Coming","The Weeknd",5168612,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
95,Báilame,Nacho,5136466,https://open.spotify.com/track/7lRsNbdOGykkMAgsqs4R1C
96,"Sigo Extrañándote","J Balvin",5105943,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8
97,"Castle on the Hill","Ed Sheeran",5066158,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
98,"Solo Dance","Martin Jensen",5028212,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
99,"Heavy (feat. Kiiara)","Linkin Park",5025065,https://open.spotify.com/track/104buTcnP2AsxqB7U1FIZ4
100,"Chantaje (feat. Maluma)",Shakira,4902494,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg
101,"iSpy (feat. Lil Yachty)",KYLE,4901837,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
102,Perfect,"Ed Sheeran",4873091,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
103,"LOVE. FEAT. ZACARI.","Kendrick Lamar",4827613,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
104,"Otra Vez (feat. J Balvin)","Zion & Lennox",4800541,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
105,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",4769554,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
106,"It's A Vibe","2 Chainz",4677363,https://open.spotify.com/track/6H0AwSQ20mo62jGlPGB8S6
107,Photograph,"Ed Sheeran",4664832,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
108,"Sua Cara (feat. Anitta & Pabllo Vittar)","Major Lazer",4638339,https://open.spotify.com/track/3ibRxEv4KkcU9e259eyNJA
109,"Would You Ever",Skrillex,4576424,https://open.spotify.com/track/57p8CBvPOxrvyCbn6ttl5r
110,Paris,"The Chainsmokers",4569937,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
111,"Swish Swish","Katy Perry",4530214,https://open.spotify.com/track/2kVHAQKVtczchKctctzbtK
112,"Let Me Love You","DJ Snake",4332662,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
113,Boys,"Charli XCX",4286210,https://open.spotify.com/track/5o4yGlG0PfeVUa6ClIyOxq
114,"Don't Let Me Down","The Chainsmokers",4282141,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
115,"Super Far",LANY,4280587,https://open.spotify.com/track/74ODGXs4byLTRdnKGM4s6E
116,"Two High","Moon Taxi",4235874,https://open.spotify.com/track/3sJHkcxojoJD2Ytbo1yLLF
117,"Drowning (feat. Kodak Black)","A Boogie Wit da Hoodie",4235400,https://open.spotify.com/track/6Q2FftbUG530lCtBI74bMH
118,"Summer Air",ItaloBrothers,4234008,https://open.spotify.com/track/3GPI7hYiqD6enLRobhkBm8
119,"Reggaetón Lento (Bailemos)",CNCO,4225993,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
120,"Me Llamas (feat. Maluma) - Remix","Piso 21",4171120,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
121,Tuesday,"Burak Yeter",4167277,https://open.spotify.com/track/7abpmGpF7PGep2rDU68GBR
122,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",4149997,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
123,"Si Tú La Ves","Nicky Jam",4147685,https://open.spotify.com/track/4yN6xPLopmTLvc27pO9LIE
124,"All My Love (feat. Conor Maynard)","Cash Cash",4120331,https://open.spotify.com/track/1839RWzPRZCVgvamu4sHSN
125,"24K Magic","Bruno Mars",4097046,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
126,Besándote,"Piso 21",4050930,https://open.spotify.com/track/13X0XdLMOdtbXVtAj2ox4h
127,"Treat You Better","Shawn Mendes",4043568,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
128,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,4014543,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
129,"You Don't Know Me - Radio Edit","Jax Jones",3999512,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY
130,"4 AM","2 Chainz",3952311,https://open.spotify.com/track/1nX9KhK3Fff27SnrIor2Yb
131,Starving,"Hailee Steinfeld",3943697,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
132,"Call On Me - Ryan Riback Extended Remix",Starley,3941552,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
133,"Thinking Out Loud","Ed Sheeran",3933352,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
134,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",3932196,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
135,Mayores,"Becky G",3917416,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau
136,"Side To Side","Ariana Grande",3807797,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
137,Hunter,Galantis,3757833,https://open.spotify.com/track/3caMfJGFp53NAH2TuigdNj
138,"Bodak Yellow","Cardi B",3720528,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM
139,"No Complaints","Metro Boomin",3719569,https://open.spotify.com/track/6kig1UFggPUyZBCvXD3Wod
140,"Complicated (feat. Kiiara)","Dimitri Vegas & Like Mike",3682933,https://open.spotify.com/track/1Sl3njkhhz8nrSPZroDQ82
141,"Bounce Back","Big Sean",3659484,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
142,"Instruction (feat. Demi Lovato & Stefflon Don)","Jax Jones",3652756,https://open.spotify.com/track/0XfOi87h82i09rQjWYG0Bm
143,"The Cure","Lady Gaga",3638048,https://open.spotify.com/track/51PIvodunv6NmX5250zxAh
144,"No Vacancy",OneRepublic,3629573,https://open.spotify.com/track/6XOYVSmNDjKUNMXooU4s4z
145,Tired,"Alan Walker",3603311,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a
146,"Fake Love",Drake,3602195,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
147,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",3589164,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
148,"In the Name of Love","Martin Garrix",3582953,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
149,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",3568617,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
150,"Love Yourself","Justin Bieber",3565988,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
151,Happier,"Ed Sheeran",3553812,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
152,"do re mi",Blackbear,3546216,https://open.spotify.com/track/3Q3myFA7q4Op95DOpHplaY
153,"Bella y Sensual","Romeo Santos",3539913,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3
154,Imitadora,"Romeo Santos",3520387,https://open.spotify.com/track/6r46lnXFbE9fr2d3KNaGbe
155,"Hear Me Now",Alok,3506766,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
156,"Alguien Robo","Sebastian Yatra",3498955,https://open.spotify.com/track/5i50gKdLAjjIr7UxRT5IVy
157,Portland,Drake,3478764,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h
158,"Look At Me!",XXXTENTACION,3470737,https://open.spotify.com/track/4ARPvK8DHLwt4oX65ZAFMw
159,"Rake It Up","Yo Gotti",3470634,https://open.spotify.com/track/6c7D34787LOtPm8tzhsLgH
160,Paradinha,Anitta,3454365,https://open.spotify.com/track/05rJdH2MRLJ3sQoEUO78qs
161,Swang,"Rae Sremmurd",3441904,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
162,"Ni Tú Ni Yo","Jennifer Lopez",3441196,https://open.spotify.com/track/5xMzazov0IHYllrc8U2K6F
163,"White Iverson","Post Malone",3334482,https://open.spotify.com/track/6eT7xZZlB2mwyzJ2sUKG6w
164,"What I've Done","Linkin Park",3319099,https://open.spotify.com/track/4kfm1uI9QGaoN9qm6CkAMn
165,Mercy,"Shawn Mendes",3309023,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
166,"The Night We Met","Lord Huron",3303264,https://open.spotify.com/track/6mORGLOz79w6VsCRLWYYuK
167,Cold,"Maroon 5",3301704,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
168,Weak,AJR,3299204,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv
169,"Cheap Thrills",Sia,3281889,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j
170,Faded,"Alan Walker",3266230,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos
171,"One Last Time","Ariana Grande",3265873,https://open.spotify.com/track/7bJwvubZZaoGE1AGEfu8Fi
172,"Be Mine",Ofenbach,3257458,https://open.spotify.com/track/2KklXplRtxMsBYo474Es0w
173,"Lose Yourself - Soundtrack Version",Eminem,3232673,https://open.spotify.com/track/5Z01UMMf7V1o0MzF86s6WJ
174,Hot2Touch,"Felix Jaehn",3221847,https://open.spotify.com/track/1sBhJGPUKrdRycgKxve70v
175,Why,"Sabrina Carpenter",3213467,https://open.spotify.com/track/2jYmK1cb3Uya6FFsocdpzO
176,"Learn To Let Go",Kesha,3211380,https://open.spotify.com/track/3JKhmIlixlYwFLzrkc6drb
177,Heathens,"Twenty One Pilots",3206948,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
178,"Chained To The Rhythm","Katy Perry",3195113,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi
179,"How Far I'll Go - From ""Moana""","Alessia Cara",3183534,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
180,Safari,"J Balvin",3173083,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO
181,"One More Light","Linkin Park",3165642,https://open.spotify.com/track/3xXBsjrbG1xQIm1xv1cKOt
182,"Who Dat Boy","Tyler, The Creator",3155351,https://open.spotify.com/track/21yRtB6B8EMounImAfHRCP
183,"Tunnel Vision","Kodak Black",3146196,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4
184,"Go Flex","Post Malone",3143995,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ
185,ELEMENT.,"Kendrick Lamar",3137772,https://open.spotify.com/track/1EaKU4dMbesXXd3BrLCtYG
186,T-Shirt,Migos,3137169,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
187,"The Scientist",Coldplay,3130923,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
188,"Lust For Life (with The Weeknd)","Lana Del Rey",3104959,https://open.spotify.com/track/4L7Y2OAPiY2I2GndZjAs5K
189,"Bon appétit","Katy Perry",3104729,https://open.spotify.com/track/61WbtB6ujkpNAsAf5LjF4b
190,"Vente Pa' Ca","Ricky Martin",3101078,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46
191,Ride,"Twenty One Pilots",3079340,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
192,"Stressed Out","Twenty One Pilots",3075712,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
193,Rolex,"Ayo & Teo",3073265,https://open.spotify.com/track/0pSBuHjILhNEo55xK1zrRt
194,"Loca (feat. Cali Y El Dandee)","Maite Perroni",3072434,https://open.spotify.com/track/05ZXXyeZFhZtA6DAP3Aw7x
195,"Sun Comes Up (feat. James Arthur)",Rudimental,3045155,https://open.spotify.com/track/6SUocL0caib4mLHe8ZrZzi
196,"Wonderwall - Remastered",Oasis,3028376,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
197,Sorry,"Justin Bieber",3010147,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
198,Dive,"Ed Sheeran",3005545,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls
199,Traicionera,"Sebastian Yatra",2993387,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT
200,"Craving You","Thomas Rhett",2988476,https://open.spotify.com/track/6zLdXcmvIxnAXpz9sXFnIE
