,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Look What You Made Me Do","Taylor Swift",35206453,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR
2,"Mi Gente","J Balvin",30264888,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
3,"New Rules","Dua Lipa",24864297,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
4,"Friends (with BloodPop®)","Justin Bieber",23215552,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
5,Feels,"Calvin Harris",21468609,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
6,Unforgettable,"French Montana",21214189,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
7,"Sorry Not Sorry","Demi Lovato",19545702,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex
8,Havana,"Camila Cabello",19138667,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
9,"Wild Thoughts (feat. Rihanna & Bryson Tiller)","DJ Khaled",18911540,https://open.spotify.com/track/1OAh8uOEOvTDqkKFsKksCi
10,1-800-273-8255,Logic,18729025,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
11,Silence,Marshmello,18035809,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
12,"Despacito - Remix","Luis Fonsi",17917160,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
13,"...Ready For It?","Taylor Swift",17583532,https://open.spotify.com/track/7zgqtptZvhf8GEmdsM2vp2
14,"XO TOUR Llif3","Lil Uzi Vert",17581085,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
15,Attention,"Charlie Puth",17435402,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
16,"Shape of You","Ed Sheeran",17124264,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
17,"Back to You (feat. Bebe Rexha & Digital Farm Animals)","Louis Tomlinson",16363008,https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
18,Thunder,"Imagine Dragons",16269574,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
19,"More Than You Know","Axwell /\ Ingrosso",16053633,https://open.spotify.com/track/3PEgB3fkiojxms35ntsTgs
20,"2U (feat. Justin Bieber)","David Guetta",15954728,https://open.spotify.com/track/3A7qX2QjDlPnazUsRk5y0M
21,"Strip That Down","Liam Payne",15718898,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
22,Mama,"Jonas Blue",15188739,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w
23,"Glorious (feat. Skylar Grey)",Macklemore,14872065,https://open.spotify.com/track/3HVr6jTVwBHBa2flM0eURR
24,"There's Nothing Holdin' Me Back","Shawn Mendes",14272314,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
25,"Without You (feat. Sandro Cavazza)",Avicii,14265876,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
26,"Jocelyn Flores",XXXTENTACION,14256608,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
27,"Young Dumb & Broke",Khalid,14239169,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
28,"Bank Account","21 Savage",13736196,https://open.spotify.com/track/5eqK0tbzUPo2SoeZsov04s
29,"What Lovers Do (feat. SZA)","Maroon 5",13652351,https://open.spotify.com/track/4mxWSdf71VFO52qFeY0fZt
30,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",13231298,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
31,"Me Rehúso","Danny Ocean",13207961,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
32,"I Like Me Better",Lauv,12611724,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
33,HUMBLE.,"Kendrick Lamar",12491111,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
34,"Bodak Yellow","Cardi B",12451687,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM
35,"What About Us",P!nk,11996582,https://open.spotify.com/track/31MkGwj0SWgZaTvEt5Hgxv
36,"Felices los 4",Maluma,11213382,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
37,Congratulations,"Post Malone",10830374,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
38,"Your Song","Rita Ora",10735670,https://open.spotify.com/track/4c2W3VKsOFoIg2SFaO6DY5
39,"Lonely Together (feat. Rita Ora)",Avicii,10705326,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
40,"Something Just Like This","The Chainsmokers",10386601,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
41,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",10295813,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
42,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,10173349,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
43,"Slow Hands","Niall Horan",9986537,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh
44,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",9835914,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
45,Believer,"Imagine Dragons",9764448,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
46,"BUTTERFLY EFFECT","Travis Scott",9689762,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX
47,Bonita,"J Balvin",9542575,https://open.spotify.com/track/693iqPOQvhI7PobtR8CC8v
48,"Una Lady Como Tú","Manuel Turizo",9507534,https://open.spotify.com/track/7MHN1aCFtLXjownGhvEQlF
49,"There for You","Martin Garrix",9444875,https://open.spotify.com/track/6jA8HL9i4QGzsj6fjoxp8Y
50,"Rich Love (with Seeb)",OneRepublic,9182028,https://open.spotify.com/track/7aF09WaavZAmAWuUeYxlYD
51,"Escápate Conmigo",Wisin,8695873,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6
52,"Fetish (feat. Gucci Mane)","Selena Gomez",8656706,https://open.spotify.com/track/0XLOf9LhyazPX9Ld8jPiUq
53,"Feel It Still","Portugal. The Man",8450531,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
54,Mayores,"Becky G",7983127,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau
55,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",7891546,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR
56,Location,Khalid,7862008,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
57,"Symphony (feat. Zara Larsson)","Clean Bandit",7492906,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
58,Questions,"Chris Brown",7471959,https://open.spotify.com/track/5XQMr19TL7Mfksq9zihbOu
59,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)","Major Lazer",7383655,https://open.spotify.com/track/3Ytr1SUCUi6J3L9dRFx5iH
60,Praying,Kesha,7196382,https://open.spotify.com/track/0jdny0dhgjUwoIp5GkqEaA
61,"Everybody Dies In Their Nightmares",XXXTENTACION,7167018,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
