,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Better Now","Post Malone",40788286,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
2,"Psycho (feat. Ty Dolla $ign)","Post Malone",37992220,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
3,"Nice For What",Drake,32410762,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
4,Paranoid,"Post Malone",31182644,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
5,"no tears left to cry","Ariana Grande",29862555,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
6,"God's Plan",Drake,29377797,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
7,"One Kiss (with Dua Lipa)","Calvin Harris",27860728,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
8,"rockstar (feat. 21 Savage)","Post Malone",26920146,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
9,"Spoil My Night (feat. Swae Lee)","Post Malone",25175356,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
10,"Rich & Sad","Post Malone",24285634,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc
11,Stay,"Post Malone",23585361,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
12,FRIENDS,Marshmello,22752794,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
13,"Over Now","Post Malone",22173263,https://open.spotify.com/track/09IOPhEh1OMe0HD9b36FJk
14,X,"Nicky Jam",22090024,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
15,"Ball For Me (feat. Nicki Minaj)","Post Malone",21648376,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
16,"Zack And Codeine","Post Malone",21279106,https://open.spotify.com/track/5lZZmityu9TAjNvSY6GLhR
17,"I Like It","Cardi B",20725789,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
18,"Same Bitches (feat. G-Eazy & YG)","Post Malone",19969213,https://open.spotify.com/track/688QpQAwqsLdBR6lr13wK1
19,"Takin' Shots","Post Malone",19954804,https://open.spotify.com/track/5ffntNJnJOeFv7b7DCd0Bw
20,"Call Out My Name","The Weeknd",19445831,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
21,"Freaky Friday (feat. Chris Brown)","Lil Dicky",18811764,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
22,"The Middle",Zedd,18098441,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
23,"92 Explorer","Post Malone",17856059,https://open.spotify.com/track/1D2L6MefbXon28PzIk9I3r
24,"Candy Paint","Post Malone",17508038,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
25,Otherside,"Post Malone",17392639,https://open.spotify.com/track/4qWCFTuNnmGNdY4egtb4ZY
26,"Love Lies (with Normani)",Khalid,17103013,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
27,"Blame It On Me","Post Malone",16190661,https://open.spotify.com/track/1ZemPoaj7LBj1RAQrb89EC
28,SAD!,XXXTENTACION,15350289,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
29,IDGAF,"Dua Lipa",15081015,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
30,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,15034846,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
31,"Look Alive (feat. Drake)","BlocBoy JB",14868432,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
32,KOD,"J. Cole",14752310,https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI
33,"Sugar Wraith","Post Malone",13978538,https://open.spotify.com/track/0MrRAUcB8AZiB9ue2VOBYe
34,Nevermind,"Dennis Lloyd",13419182,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
35,Mine,Bazzi,12875275,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
36,"Wake Me Up - Radio Edit",Avicii,12451453,https://open.spotify.com/track/6g1NlCpW7fgqDnWbCCDrHl
37,"In My Blood","Shawn Mendes",12323053,https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K
38,"Te Boté - Remix","Nio Garcia",12128029,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
39,Dura,"Daddy Yankee",11983077,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
40,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",11877034,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
41,"Me Niego",Reik,11779014,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
42,"All The Stars (with SZA)","Kendrick Lamar",11778327,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
43,"Walk It Talk It",Migos,11740619,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
44,"Remind Me to Forget",Kygo,11726509,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
45,Havana,"Camila Cabello",11643402,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
46,OTW,Khalid,11460746,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
47,"Plug Walk","Rich The Kid",11444053,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
48,"Like I Do","David Guetta",11292443,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
49,"Jonestown (Interlude)","Post Malone",11226977,https://open.spotify.com/track/0R6Jlsq25eZB3Wftpxi3oF
50,"Without You (feat. Sandro Cavazza)",Avicii,10509566,https://open.spotify.com/track/6WbADFqMvR8N5u0BvtsWQE
51,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",10445105,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
52,"Playinwitme (feat. Kehlani)",KYLE,10386621,https://open.spotify.com/track/43cFjTTCD9Cni4aSL0sORz
53,Flames,"David Guetta",10382430,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
54,"Kevin’s Heart","J. Cole",9830532,https://open.spotify.com/track/6tZ3b7ik1QDXFAZlXib0YZ
55,ATM,"J. Cole",9350035,https://open.spotify.com/track/2UciqgwVDwro0fev3MFbxJ
56,"Say Something","Justin Timberlake",9208071,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
57,"Mad Love","Sean Paul",9202257,https://open.spotify.com/track/3soOPBuMK8YMdWnV7xpEyf
58,"New Rules","Dua Lipa",9175014,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
59,JAPAN,"Famous Dex",9153123,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
60,"Shape of You","Ed Sheeran",9072439,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
61,"I Fall Apart","Post Malone",9024439,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
62,"Let Me",ZAYN,8949951,https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC
63,2002,Anne-Marie,8899988,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
64,Bella,Wolfine,8672261,https://open.spotify.com/track/3xcCix7Jv1Rp90YVmgo35D
65,"Ric Flair Drip (& Metro Boomin)",Offset,8634210,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
