id,"Track",Artist,Streams,URL
1,Nonstop,Drake,43697135,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
2,"Don’t Matter To Me",Drake,43314851,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
3,SAD!,XXXTENTACION,32872517,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
4,"God's Plan",Drake,31958655,https://open.spotify.com/track/2VWbHHhWnMzKWPUs4IEEW9
5,"In My Feelings",Drake,30123256,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
6,Emotionless,Drake,29680801,https://open.spotify.com/track/1v1IXPXl73Z7zy6f5tUa9n
7,"I'm Upset",Drake,28743698,https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1
8,Survival,Drake,27089507,https://open.spotify.com/track/71SEHJPt1iDwGkBhUOAXDP
9,Elevate,Drake,26995718,https://open.spotify.com/track/4uloft7ZE54WflsuqFmjC7
10,"Nice For What",Drake,26909120,https://open.spotify.com/track/0HVv5bEOiI9a0QfgcASXpX
11,"Mob Ties",Drake,25933856,https://open.spotify.com/track/7txPE73wHbuXYkM1h8zNrG
12,"8 Out Of 10",Drake,25910256,https://open.spotify.com/track/5fcM0StdQxMjzulVGhFkHN
13,"Lucid Dreams","Juice WRLD",25866250,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
14,"I Like It","Cardi B",25437863,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
15,"Girls Like You (feat. Cardi B)","Maroon 5",25384413,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
16,"One Kiss (with Dua Lipa)","Calvin Harris",25364299,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
17,"Better Now","Post Malone",23534781,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
18,"Talk Up",Drake,23481853,https://open.spotify.com/track/3Yw09dj3cTXsAzlLjgBfIP
19,"Can’t Take A Joke",Drake,22191046,https://open.spotify.com/track/7cfvP13Bqb1EyCZQiYsLum
20,"Solo (feat. Demi Lovato)","Clean Bandit",22123858,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
21,Moonlight,XXXTENTACION,20842040,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
22,"Taste (feat. Offset)",Tyga,18984713,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
23,"no tears left to cry","Ariana Grande",18535012,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
24,"Sandra’s Rose",Drake,18430122,https://open.spotify.com/track/1sPLURKAosM3Jampgp9AWq
25,"Back To You","Selena Gomez",18141297,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
