,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,rockstar,"Post Malone",30769464,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
2,Havana,"Camila Cabello",26213719,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
3,"New Rules","Dua Lipa",22842546,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
4,"River (feat. Ed Sheeran)",Eminem,22115164,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
5,Wolves,"Selena Gomez",20800608,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
6,Perfect,"Ed Sheeran",18357808,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
7,"Échame La Culpa","Luis Fonsi",18074719,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
8,"Shape of You","Ed Sheeran",17570858,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
9,"What Lovers Do (feat. SZA)","Maroon 5",17477163,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
10,"Him & I (with Halsey)",G-Eazy,17462783,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
11,"Let You Down",NF,17282065,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
12,"Gucci Gang","Lil Pump",15921790,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
13,"Too Good At Goodbyes","Sam Smith",15502779,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
14,Silence,Marshmello,15112294,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
15,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",14996086,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
16,"I Fall Apart","Post Malone",14395657,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
17,Corazón,Maluma,13600157,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou
18,"Dusk Till Dawn - Radio Edit",ZAYN,12978460,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
19,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",12977633,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
20,"No Limit",G-Eazy,12557918,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
21,Downtown,Anitta,12243044,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
22,Criminal,"Natti Natasha",12012034,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
23,"Young Dumb & Broke",Khalid,11926151,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
24,Thunder,"Imagine Dragons",11665009,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
25,Sensualidad,"Bad Bunny",11626025,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
26,"Mi Gente","J Balvin",11451420,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
27,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",11337902,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
28,"Bartier Cardi (feat. 21 Savage)","Cardi B",11285907,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT
29,"Despacito - Remix","Luis Fonsi",11169945,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
30,"XO TOUR Llif3","Lil Uzi Vert",11110774,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
31,"How Long","Charlie Puth",11011585,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
32,"Feel It Still","Portugal. The Man",10920312,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
33,"I Miss You (feat. Julia Michaels)","Clean Bandit",10694252,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
34,Unforgettable,"French Montana",10572262,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
35,1-800-273-8255,Logic,10215136,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
36,"Candy Paint","Post Malone",10164294,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
37,"Me Rehúso","Danny Ocean",10109248,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
38,"Se Preparó",Ozuna,10079450,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
39,Congratulations,"Post Malone",10019761,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
40,Stargazing,Kygo,9792452,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
41,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",9677603,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l
42,Mayores,"Becky G",9523877,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau
43,"Man's Not Hot","Big Shaq",9408776,https://open.spotify.com/track/2nUJvBO87SkxCViQsLc9Zr
44,HUMBLE.,"Kendrick Lamar",9374115,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
45,"Ric Flair Drip (& Metro Boomin)",Offset,9282390,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
46,"Vai malandra (feat. Tropkillaz & DJ Yuri Martins)",Anitta,9186447,https://open.spotify.com/track/6u0EAxf1OJTLS7CvInuNd7
47,"Something Just Like This","The Chainsmokers",9034798,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
48,"So Far Away","Martin Garrix",8711976,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
49,"Never Be the Same","Camila Cabello",8588867,https://open.spotify.com/track/6VpQdig9pdpTSIFItgkJV5
50,"Bank Account","21 Savage",8575541,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
51,Attention,"Charlie Puth",8474396,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
52,Anywhere,"Rita Ora",8222440,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
53,"More Than You Know","Axwell /\ Ingrosso",7994741,https://open.spotify.com/track/71bBFbfn2OBK5QwUJSLS44
54,"Havana - Remix","Camila Cabello",7771750,https://open.spotify.com/track/3whrwq4DtvucphBPUogRuJ
55,"Sorry Not Sorry","Demi Lovato",7696064,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
56,"Lonely Together (feat. Rita Ora)",Avicii,7670636,https://open.spotify.com/track/2OALaHcDdKkjYEpAr0Qzab
57,"Perro Fiel (feat. Nicky Jam)",Shakira,7597732,https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL
58,"All Falls Down","Alan Walker",7499091,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
59,Believer,"Imagine Dragons",7271716,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6
60,"I Like Me Better",Lauv,7238310,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
61,"Tip Toe (feat. French Montana)","Jason Derulo",7200977,https://open.spotify.com/track/2z4pcBLQXF2BXKFvd0BuB6
62,"Que Va","Alex Sensation",7088995,https://open.spotify.com/track/7ofxPmTNMj2GP07g1VZa0O
63,MotorSport,Migos,7085441,https://open.spotify.com/track/1YZfcVLbbJwfizR5cDOp3q
64,"Bodak Yellow","Cardi B",7034863,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM
65,"There's Nothing Holdin' Me Back","Shawn Mendes",6929306,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
66,"Codeine Dreaming (feat. Lil Wayne)","Kodak Black",6857634,https://open.spotify.com/track/4DTpngLjoHj5gFxEZFeD3J
67,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)","Machine Gun Kelly",6853150,https://open.spotify.com/track/0OI7AFifLSoGzpb8bdBLLV
68,"Báilame - Remix",Nacho,6751639,https://open.spotify.com/track/3VClLWqNn80Llv0PJOsKgr
69,"Felices los 4",Maluma,6738010,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
70,"Symphony (feat. Zara Larsson)","Clean Bandit",6665747,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
71,"Bum Bum Tam Tam","MC Fioti",6664769,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr
72,Closer,"The Chainsmokers",6656029,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
73,"Friends (with BloodPop®)","Justin Bieber",6620450,https://open.spotify.com/track/7nZmah2llfvLDiUjm0kiyz
74,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",6429729,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd
75,"Plain Jane","A$AP Ferg",6393108,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9
76,"Escápate Conmigo (feat. Ozuna)",Wisin,6372956,https://open.spotify.com/track/1KSqYYJFyfTecXFk9M0prc
77,"Suena El Dembow","Joey Montana",6289780,https://open.spotify.com/track/5TysCiZtv1HnSWcTcUFusI
78,"Tell Me You Love Me","Demi Lovato",6288296,https://open.spotify.com/track/5Htb1uFQ1KrkFXlefS8oGj
79,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",6261548,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
80,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",6230684,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
81,Feels,"Calvin Harris",6205486,https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke
82,"LOVE. FEAT. ZACARI.","Kendrick Lamar",6190848,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
83,"Strip That Down","Liam Payne",6174585,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ
84,"One Dance",Drake,6137340,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
85,"Jocelyn Flores",XXXTENTACION,6137178,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
